taskID,method,energy,time,window,compression
8,system,1009.7740302670665,705.689085483551,10,7
9,system,1013.9478021584672,701.7572531700134,10,8
11,system,26675.94962716832,18495.428904533383,10,10
12,system,-4294570.0,49648.8875951767,10,11
20,system,1060.2079773795654,726.2537984848022,11,7
21,system,1050.9973670976185,717.9804682731627,11,8
23,system,25000.017070291884,17294.422978401184,11,10
24,system,-4292036.0,47176.12165355682,11,11
32,system,1073.8350604048562,753.0666818618774,12,7
33,system,1109.5577165094398,772.2004175186157,12,8
35,system,23372.254601339348,16210.556005001068,12,10
36,system,64138.469949856495,44669.7634510994,12,11
44,system,1146.3388965147838,798.4176964759827,13,7
45,system,1185.3631248555814,823.0844659805298,13,8
47,system,21987.3020935796,15311.795457839966,13,10
48,system,61107.686529606406,42509.4974155426,13,11
56,system,1222.6122200080015,844.8292794227599,14,7
57,system,1304.059281787364,902.6940383911132,14,8
59,system,20933.27875672056,14532.587540149689,14,10
60,system,58585.402074626254,40822.48850011826,14,11
68,system,1343.7008127774332,935.3265409469604,15,7
69,system,1470.3959022056258,1018.8961572647096,15,8
71,system,19889.26594154164,13835.065196990969,15,10
72,system,56341.56418809448,39259.848776340485,15,11
80,system,1505.6522344047198,1051.2572684288025,16,7
81,system,1701.1318056089997,1191.2384762763977,16,8
83,system,19080.98752870985,13299.164637088776,16,10
84,system,54324.25620546901,37866.12313556672,16,11
90,system,1182.802497645671,838.474591255188,17,5
91,system,1317.228110384805,929.7163190841676,17,6
92,system,1721.610597190842,1212.7909021377563,17,7
93,system,2009.427112260643,1408.28142118454,17,8
94,system,2601.128199724235,1826.4125800132751,17,9
95,system,23117.053792394832,16061.868639945984,17,10
96,system,62932.540209775965,43914.06352472305,17,11
102,system,1411.8224739443956,1003.9887533187866,18,5
103,system,1623.1217404222284,1148.9880800247192,18,6
104,system,1960.1775224984208,1376.8066620826723,18,7
105,system,2318.343197768924,1629.1201405525203,18,8
106,system,3063.045686187083,2150.528079032898,18,9
107,system,21630.558623346296,15064.282987117767,18,10
108,system,-3483690.0,47848.85815572739,18,11
114,system,1475.0185159816513,1063.2937688827517,19,5
115,system,1713.345659391509,1239.5609006881714,19,6
116,system,2319.1421471759486,1659.725176811218,19,7
117,system,2711.294154720642,1926.2834272384648,19,8
118,system,3463.0163200113184,2463.683837890625,19,9
119,system,20087.1398119524,14047.052168369297,19,10
120,system,62934.51362370167,44074.784583091736,19,11
126,system,1626.887131567039,1184.364143371582,20,5
127,system,2160.391391992077,1569.3469200134275,20,6
128,system,2900.66846745583,2084.9791922569275,20,7
129,system,3394.0393682326644,2422.860326766968,20,8
130,system,4261.622956406031,3031.7798209190364,20,9
131,system,19931.44157641055,13972.88340806961,20,10
132,system,59070.95558804614,41346.49256944656,20,11
138,system,1633.7339962139365,1184.0813999176023,21,5
139,system,2519.618885491343,1831.7173109054563,21,6
140,system,3826.7557708534414,2763.947235584259,21,7
141,system,4568.040591370346,3284.923839092254,21,8
142,system,5656.323187081663,4046.415019512176,21,9
143,system,20252.347371938984,14268.63494348526,21,10
144,system,57170.65571704618,40172.51878738403,21,11
150,system,1643.6220842154898,1193.2058444023132,22,5
151,system,2580.224118292049,1872.890382766724,22,6
152,system,5262.199330533791,3893.966143131256,22,7
153,system,7392.926205451633,5473.948797225952,22,8
154,system,9032.260982483742,6672.971800804138,22,9
155,system,21341.31863522248,15102.931174755096,22,10
156,system,57079.86458338974,40111.81309556961,22,11
162,system,1635.0934300168246,1185.439218044281,23,5
163,system,2558.4438986522828,1863.7633848190308,23,6
164,system,4913.037437244917,3588.137721538544,23,7
165,system,11417.553758770133,8842.416444301605,23,8
166,system,19279.8594771716,15113.39442157745,23,9
167,system,23276.65393329767,16457.152450084686,23,10
168,system,57897.95227747586,40772.06531667709,23,11
174,system,1633.1052721391884,1182.898796081543,24,5
175,system,2607.1504494598,1899.713476657868,24,6
176,system,4955.626840872659,3616.913290023803,24,7
177,system,11876.458484225155,9221.503982543943,24,8
178,system,28156.78277237893,22173.96152877808,24,9
179,system,24825.56485744593,17668.274866104126,24,10
180,system,59676.65949876901,42160.1064081192,24,11
