taskID,cores,ram,level,encrypt,wind_size_unl,threshold,compression,time,energy,method
1,2,6,7,1,1,1,0,203.56385135650635,344.50196337660674,system
2,1,2,4,0,1,0,1,1008.993670940399,1475.5942047878311,system
3,1,18,4,1,0,0,2,508.5673909187317,784.6025364503408,system
4,3,6,5,0,0,0,2,292.76948451995844,523.9064055751555,system
5,3,2,9,0,1,0,2,297.3422260284424,532.3457182720149,system
6,2,6,1,0,0,1,0,179.41782140731812,311.2092386556715,system
7,2,6,5,0,1,0,0,140.5900435447693,246.02302917784223,system
8,3,6,9,1,0,0,0,220.6661252975464,370.25998949970904,system
9,1,18,1,0,0,1,0,186.17222833633423,318.95927818663927,system
10,2,18,7,0,1,0,0,214.61468839645386,364.14210879350867,system
11,4,6,4,0,1,0,0,581.8036832809448,841.6431050068422,system
12,1,2,4,1,0,0,2,497.8489112854004,766.6658121240746,system
13,1,18,9,0,1,1,2,499.34898233413696,772.0114023381986,system
14,2,2,7,0,1,1,0,596.5034856796265,862.0805639971796,system
15,2,18,1,0,1,1,0,311.547571182251,549.8695405016432,system
16,1,6,2,0,1,1,0,184.59068346023562,319.8383474282158,system
17,2,2,7,0,1,1,0,599.4187893867493,867.677035718754,system
18,4,18,7,1,1,1,1,1472.5197973251343,2757.299250744293,system
19,1,6,9,0,0,0,0,241.5713300704956,402.26876154469085,system
20,1,6,8,0,1,0,1,5011.206039905548,7265.163756634423,system
21,1,18,3,0,1,1,2,529.2751145362854,811.4887594395788,system
22,3,2,3,0,1,0,0,183.05301809310913,317.86054696610813,system
23,1,6,6,0,0,1,0,151.3531837463379,261.6323425675041,system
24,3,18,9,1,1,1,0,248.7891387939453,469.33501672913627,system
25,3,6,9,0,0,0,1,5052.854005813599,7353.475575967232,system
26,1,18,9,0,1,1,2,499.30473232269287,773.1960875342409,system
27,3,6,1,1,0,0,1,381.0209369659424,672.1052009762428,system
28,3,6,1,1,0,0,0,551.6562576293945,831.3554922295167,system
29,2,2,2,0,1,0,0,194.40276050567627,334.42492443167987,system
30,4,18,7,1,1,0,0,227.14602661132812,426.0324865310797,system
31,3,2,8,0,0,1,1,5009.589100360871,7318.973829001583,system
32,3,2,5,1,0,1,0,625.2889642715454,911.1380486164542,system
33,4,2,8,1,1,1,0,202.89522123336792,346.0752568502424,system
34,2,2,3,0,0,1,0,552.9320211410522,833.7094906020308,system
35,1,6,5,1,1,0,0,181.6605896949768,313.56948517686703,system
36,1,2,1,0,1,1,0,594.2011432647705,892.2628606426617,system
37,1,2,5,0,1,1,0,140.76906967163086,242.39094651253643,system
38,1,2,7,1,1,1,1,5022.005479335785,7269.457257053019,system
39,3,2,7,1,0,0,2,342.1015114784241,592.3443022895406,system
40,3,6,5,0,1,0,0,196.66514539718628,338.24866144603067,system
41,2,18,8,0,0,1,0,217.60729694366455,365.8270528653454,system
42,4,6,2,0,1,0,2,290.5039219856262,512.0702731756601,system
43,4,18,6,0,0,1,0,197.12110376358032,340.0621058815765,system
44,2,6,5,0,1,1,0,586.6252856254578,850.0471636110799,system
45,2,18,6,0,0,0,0,239.65687704086304,446.6517985015637,system
46,2,6,3,1,0,0,1,489.5871067047119,870.9774289256176,system
47,2,2,8,1,1,0,0,202.6717014312744,345.9740444717911,system
48,1,2,1,0,1,1,0,182.1457076072693,311.273819736263,system
49,4,18,4,0,1,0,2,283.94309425354004,505.60472412578434,system
50,3,18,9,0,1,1,2,313.3555932044984,547.1052932555389,system
51,1,6,6,1,0,1,0,164.4221911430359,278.8003303526024,system
52,2,6,8,0,0,1,2,316.84487199783325,559.3416431434794,system
53,3,6,5,0,0,1,0,201.0313000679016,347.8631713337793,system
54,1,6,8,0,0,0,0,242.09891557693481,404.36897070930536,system
55,2,2,3,0,0,1,0,187.8586654663086,324.5336709792491,system
56,4,18,1,0,0,0,0,187.84907579421997,322.24711289307965,system
57,4,2,9,1,0,1,1,5089.485882282257,7385.6978861451635,system
58,1,6,4,1,0,0,2,472.05204248428345,733.9498164638402,system
