taskID,method,time,energy,threads,ref,rc_lookahead,no_8x8dct,no_cabac,no_deblock,no_mbtree,no_fast_pskip,no_mixed_refs
1,system,1087.7347521780764,1502.2723969584874,4,8,160,0,0,1,0,1,0
2,system,796.9171247481594,1146.802283595258,2,4,160,0,0,1,1,0,1
3,system,492.2056279181775,656.6838504512393,4,1,160,1,1,0,1,0,1
4,system,745.1759839056949,1004.6175908225181,4,8,160,1,1,0,1,0,1
5,system,877.8646016120837,1114.0885357409863,1,1,160,0,1,0,1,0,0
6,system,1529.0002088546623,1921.7279904673726,1,8,0,0,1,1,0,0,1
7,system,1149.8912181853336,1667.3770629867029,2,8,160,1,0,0,1,1,1
8,system,898.0276799201889,1137.0213383475232,1,1,160,0,0,1,1,1,1
9,system,2522.187880516031,3182.4099887148827,1,16,160,0,0,1,1,1,1
10,system,892.4930071830673,1130.1208387772278,1,1,40,0,0,0,1,1,0
11,system,1686.0963845251163,2354.678027058492,4,16,0,0,1,0,1,1,0
12,system,768.9441781043004,1041.8953982763169,4,8,0,0,0,1,1,0,1
13,system,713.9686908720969,950.62241214733,8,8,0,1,0,1,0,1,1
14,system,734.107089042577,998.578911319669,4,8,160,0,0,1,0,0,1
15,system,1147.3780298232118,1680.479993542385,2,8,10,0,0,1,1,1,1
16,system,622.9520015715666,826.5507444831542,8,4,0,0,0,0,0,0,0
17,system,1597.0696139334473,2360.8871281517277,2,16,40,0,0,1,0,1,1
18,system,876.7153229712733,1278.0370992602075,2,2,160,1,0,0,1,1,0
19,system,704.9029760359817,945.563717751631,8,8,160,1,0,0,0,1,1
20,system,676.4473614692085,981.8521614586572,2,1,0,0,0,1,0,0,1
21,system,909.5134801863376,1224.9386082359465,8,16,0,0,0,1,0,0,1
22,system,577.7346549033587,834.3520252534554,2,1,40,1,1,0,0,0,0
23,system,1578.9165883063097,2326.0529836672986,2,16,10,1,1,0,0,1,1
24,system,1002.7946572302433,1353.1319133791158,8,16,10,0,0,1,1,1,1
25,system,1851.9332075118862,2344.8145734482373,1,8,0,0,0,1,0,0,0
26,system,722.1720662116385,1039.947481475691,2,2,40,0,0,0,0,1,1
27,system,1022.7661924362096,1294.9207542163626,1,2,160,0,1,0,1,0,1
28,system,591.8176240920267,784.893575967321,8,4,160,1,0,1,0,0,0
29,system,508.15106630319025,673.5217862834828,8,2,160,1,1,0,0,1,1
30,system,855.588090419666,1163.8002521131098,4,8,0,0,0,1,1,1,1
31,system,735.8392047881422,1058.9009446145014,2,2,10,1,1,1,1,0,1
32,system,1233.0779786108246,1653.1682950040195,8,16,0,0,1,0,1,0,0
33,system,901.5212478637619,1144.659581302972,1,1,0,0,0,1,0,1,1
34,system,2423.0416326522623,3084.129842893324,1,16,160,1,0,0,0,1,1
35,system,1126.7846879958204,1641.6490521406815,2,8,10,1,1,1,1,1,1
36,system,2032.7329730986075,2990.726481325855,2,16,0,0,0,0,1,0,0
37,system,1086.0594334601124,1503.0925910277012,4,8,10,1,1,0,1,1,0
38,system,653.5066661833916,894.7337425266799,4,4,10,1,0,1,0,0,0
39,system,630.0550479888378,908.7145873846736,2,1,160,1,0,0,0,1,0
40,system,831.4313659667301,1202.79833059879,2,4,160,1,1,0,0,0,0
41,system,2262.154252052288,2879.6955181457456,1,16,0,1,1,1,1,0,1
42,system,2257.2233314513974,2864.96741931377,1,16,40,1,0,0,1,0,1
43,system,506.9626612662605,682.9018839144264,4,1,0,1,0,0,1,0,1
44,system,1917.7038984298545,2461.671356097403,1,8,0,1,0,0,0,1,0
45,system,555.8550386428058,738.7195437851235,8,4,0,0,0,1,0,1,1
46,system,510.1615228652272,686.9902472907227,4,1,0,0,0,0,0,0,1
47,system,553.4290585517135,736.9440165992636,8,4,40,0,0,0,1,1,1
48,system,624.9934802054505,831.0237872337012,8,4,160,0,0,0,1,0,0
49,system,2272.149140357952,2923.6940696484867,1,16,160,0,1,1,1,0,1
50,system,1194.6807813643024,1656.595274326632,4,16,10,0,1,1,1,1,1
51,system,2131.1150579452333,2731.74107273542,1,16,10,0,1,1,0,0,1
52,system,866.8171691894458,1101.1849934987295,1,1,0,1,0,0,0,0,1
53,system,523.8559050559278,694.8636622944449,8,4,40,1,1,0,1,0,1
54,system,523.6476025580631,698.9174573883787,8,4,10,1,1,1,1,0,1
55,system,590.6293592452233,785.5334346473873,8,4,160,0,1,0,0,0,0
56,system,2762.5237884521252,3512.2659863118106,1,16,40,1,0,0,1,0,0
57,system,1208.9536247253316,1546.019227567455,1,4,10,1,1,0,1,0,0
58,system,837.1601319312017,1147.1724363168335,4,8,0,1,1,1,1,1,1
59,system,669.2256007193615,897.5878776447338,8,8,0,0,0,1,0,0,1
60,system,523.0767283438889,700.1527403672095,8,4,160,1,1,1,1,0,1
61,system,760.216438293359,1045.0916214984438,4,8,40,1,0,1,1,0,1
62,system,774.7954702376646,1122.1997011193914,2,4,160,1,1,0,1,0,1
63,system,781.4506793021474,1130.5919840424033,2,4,0,1,1,1,0,0,1
64,system,2592.8855266570827,3283.1968687820745,1,16,160,0,1,0,0,0,0
65,system,702.3160576819489,950.8000856892646,4,8,10,0,0,0,0,0,1
66,system,1544.0577564237863,2163.5268178088936,4,16,160,1,0,1,0,1,0
67,system,479.61156463617203,643.7706675383695,4,1,40,1,0,1,0,0,0
68,system,463.17034387581975,611.1246103294859,8,1,10,0,0,0,1,1,0
69,system,1604.1793360709007,2356.6110647384057,2,16,160,1,0,1,0,1,1
70,system,573.0359926222973,758.2721661819893,8,2,160,1,0,1,1,0,0
71,system,2180.5635561941554,3173.9635265814027,2,16,10,1,0,1,1,1,0
72,system,519.0377573966267,690.5365916062875,8,4,10,1,1,1,0,1,1
73,system,559.0557661055865,750.6526198746154,4,2,160,0,0,1,0,0,1
74,system,795.296727180411,1147.934325421189,2,4,0,0,1,1,0,0,1
75,system,1040.1619977950172,1516.7824839028228,2,8,0,0,1,0,1,0,1
76,system,1030.6034245489825,1421.4325549400307,4,8,0,0,1,1,1,0,0
77,system,2490.9098048209935,3165.146968214196,1,16,40,1,1,0,1,1,1
78,system,773.4442844390196,1126.578970826355,2,4,10,1,1,1,1,0,1
79,system,792.8146009445123,1026.3949802718114,1,1,10,1,1,1,0,0,0
80,system,549.0427165030733,749.980000943588,4,2,10,1,1,1,0,1,1
81,system,1521.578496932822,2128.6525242659864,4,16,160,1,1,1,0,1,0
82,system,829.5551047324426,1202.462131891447,2,4,10,1,1,1,1,1,1
83,system,822.5353312492301,1052.525921840521,1,1,160,1,0,1,0,0,1
84,system,2027.3944230078164,2974.432313525225,2,16,10,0,1,1,1,0,0
85,system,2858.698069095588,3625.126610804196,1,16,0,1,1,1,1,0,0
86,system,556.6939797400773,744.6277353231675,4,2,160,0,1,1,0,0,1
87,system,747.7473545073815,1084.2757511920051,2,2,10,1,1,0,0,0,0
88,system,460.9127087592454,606.4498909189496,8,1,0,1,0,0,0,1,1
89,system,915.7447142599968,1252.5805036057109,4,8,160,1,0,0,0,0,0
90,system,456.28579378121776,601.3063576386518,8,1,0,1,0,0,1,0,0
91,system,1038.544313907536,1517.4744759681778,2,8,0,0,1,1,0,0,1
92,system,1077.8942899703889,1378.226972044193,1,2,10,0,1,0,0,1,0
93,system,578.7676258086374,761.6241881875617,8,2,0,1,0,0,0,1,0
94,system,573.3134088515493,766.8141750210871,4,2,40,0,1,1,1,0,1
95,system,1067.0034999847321,1365.7487161736008,1,2,10,0,0,0,1,1,1
96,system,1684.8828353880579,2480.1295177687157,2,16,40,0,1,1,1,1,1
97,system,1295.1876978873215,1881.0234851787275,2,8,10,1,1,1,0,1,0
98,system,641.6063838004177,844.2878834773887,8,4,10,1,1,1,1,1,0
99,system,1098.7911901473906,1401.8548760179624,1,4,10,1,1,0,0,0,0
100,system,1643.4408488273482,2095.9301190886204,1,8,10,0,1,0,1,1,1
101,system,453.24534702294864,595.7285222169478,8,1,10,0,1,0,1,0,1
102,system,1280.0605659484754,1636.6068437166682,1,4,0,1,0,0,1,1,0
103,system,573.02961730949,752.394158233078,8,2,0,0,1,1,0,0,0
104,system,562.1031823157524,740.2941804765494,8,4,40,1,1,0,0,0,0
105,system,630.2939620017199,833.6720937326295,8,4,160,0,0,0,0,1,0
106,system,514.6638855933469,687.7849295519636,4,1,0,1,0,1,0,0,1
107,system,1370.6682839392033,1903.3239253245492,4,16,40,0,0,0,0,0,0
108,system,883.0232343673631,1131.708877361806,1,1,40,1,0,0,1,1,1
109,system,1647.332543373094,2098.765705818855,1,8,40,0,1,0,1,1,1
110,system,1303.9374575613215,1756.3389210458429,8,16,40,1,0,0,1,1,0
111,system,702.1830372809546,961.1895234451964,4,4,40,1,1,0,0,1,0
112,system,485.0582880973166,637.8932982039712,8,2,40,0,1,1,0,0,1
113,system,1351.9560132024849,1820.7680139182114,8,16,40,0,0,0,1,1,0
114,system,1001.4226264952268,1349.0231052325598,8,16,0,0,0,1,1,1,1
115,system,1499.692328452903,2090.5447458452927,4,16,10,1,0,0,0,1,0
116,system,1298.3862490653005,1865.2976380406408,2,8,10,1,0,1,0,1,0
117,system,760.4264030455888,1089.4135014655742,2,4,10,1,1,1,0,1,1
118,system,1024.5715641974102,1391.0993888334174,4,16,0,0,1,1,0,0,1
119,system,1206.0755481718331,1623.938092289618,8,16,10,1,0,1,0,1,0
120,system,868.0864839553759,1111.7559644979335,1,1,40,1,1,1,1,1,0
121,system,853.1914801596419,1129.8064354560966,8,8,160,0,1,1,1,0,0
122,system,880.990918159412,1265.2209624625298,2,2,10,1,0,0,1,1,0
123,system,1505.95121002196,1894.309338737884,1,8,0,1,1,1,0,0,1
124,system,1299.3802304267774,1654.903714244754,1,4,40,0,1,0,1,1,0
125,system,1960.9100675582717,2491.4067791636917,1,8,40,0,1,1,1,1,0
126,system,609.2204723357338,810.3895056235648,8,4,10,1,1,1,1,0,0
127,system,749.6119766234298,992.3647461125523,8,8,10,1,0,0,0,0,0
128,system,1244.443559169602,1675.970269106948,8,16,10,0,1,1,1,0,0
129,system,3121.2040205001567,4003.0392651979028,1,16,0,0,0,1,0,1,0
130,system,1143.5458226203823,1457.7803248185223,1,4,160,1,0,1,0,0,0
131,system,1779.6604552268832,2261.387134093064,1,8,40,1,0,0,1,0,0
132,system,1006.793286800376,1277.99453695411,1,2,10,1,1,1,1,0,1
133,system,1341.9859552381608,1799.607630043906,8,16,0,0,1,1,1,1,0
134,system,1103.9677939414885,1409.3765505555525,1,4,10,0,0,1,1,0,1
135,system,1210.1452274322407,1543.3381255362233,1,4,160,1,1,0,1,0,0
136,system,522.8685827254499,687.9370155910774,8,4,40,1,1,0,1,0,1
137,system,701.0419631003466,945.7418862486345,4,8,40,1,1,1,0,0,1
138,system,1199.9492630957154,1654.1026457005896,4,16,0,0,0,0,0,1,1
139,system,1328.3808307646186,1853.2160476948386,4,16,40,0,1,0,0,0,0
140,system,1202.798483848408,1615.5457066973925,8,16,40,1,0,0,1,0,0
141,system,841.8760409355092,1075.6388153704563,1,1,160,0,0,1,0,1,0
142,system,789.8829884528491,1136.1667720469093,2,2,160,0,0,0,0,0,0
143,system,525.1499700545583,702.4304238042404,4,1,10,0,0,1,1,1,0
144,system,513.2641572951593,683.9762534681631,4,1,40,0,1,0,1,1,1
145,system,816.5335049628505,1183.7384339090513,2,4,0,1,1,0,1,1,1
146,system,2873.2830123901126,3668.310544444693,1,16,10,0,1,1,0,1,0
