is_active,repetition,iteration,feature,vif
True,0,15,"('window',)",11.134628064175486
True,0,15,"('compression', 'window')",
True,0,20,"('compression', 'window')",
True,0,20,"('window',)",12.536446726082245
True,0,25,"('window',)",13.778231818050791
True,0,25,"('compression', 'window')",
True,0,30,"('compression', 'window')",
True,0,35,"('compression', 'window')",
True,0,35,"('window',)",10.140107503465126
True,0,40,"('compression', 'window')",
True,0,40,"('window',)",7.755234044810818
True,0,45,"('compression', 'window')",
True,0,45,"('compression',)",7.716259418186226
True,0,50,"('compression', 'window')",
True,0,50,"('compression',)",8.05762397773618
True,0,55,"('compression', 'window')",
True,0,55,"('compression',)",8.595603277401244
True,0,60,"('compression', 'window')",
True,1,15,"('compression', 'window')",
True,1,20,"('window',)",9.63949780229046
True,1,20,"('compression', 'window')",
True,1,25,"('window',)",7.128643763815621
True,1,25,"('compression',)",7.128643763815621
True,1,25,"('compression', 'window')",
True,1,30,"('window',)",6.647901193431737
True,1,30,"('compression', 'window')",
True,1,35,"('window',)",7.643489065899401
True,1,35,"('compression', 'window')",
True,1,40,"('window',)",7.783855738445643
True,1,40,"('compression', 'window')",
True,1,40,"('compression',)",7.783855738445636
True,1,45,"('window',)",8.147808464850895
True,1,45,"('compression', 'window')",
True,1,45,"('compression',)",8.147808464850895
True,1,50,"('compression', 'window')",
True,1,50,"('window',)",7.258556433863047
True,1,55,"('compression', 'window')",
True,1,55,"('window',)",7.15918634473365
True,1,60,"('compression', 'window')",
True,1,60,"('window',)",7.549975124622861
True,2,15,"('compression', 'window')",
True,2,15,"('window',)",7.1463173211121775
True,2,20,"('compression', 'window')",
True,2,20,"('window',)",8.591904530162292
True,2,25,"('compression', 'window')",
True,2,25,"('window',)",8.488200167809657
True,2,30,"('compression', 'window')",
True,2,30,"('window',)",9.518450856106732
True,2,35,"('compression', 'window')",
True,2,40,"('window',)",7.062047836603065
True,2,40,"('compression', 'window')",
True,2,40,"('compression',)",7.062047836603065
True,2,45,"('window',)",7.220017549509256
True,2,45,"('compression', 'window')",
True,2,45,"('compression',)",7.220017549509251
True,2,50,"('compression', 'window')",
True,2,50,"('compression',)",7.38229371084812
True,2,50,"('window',)",7.38229371084812
True,2,55,"('compression', 'window')",
True,2,55,"('window',)",7.193005265045453
True,2,55,"('compression',)",7.193005265045447
True,2,60,"('window',)",7.246982104889461
True,2,60,"('compression', 'window')",
True,2,60,"('compression',)",7.246982104889461
True,3,15,"('compression', 'window')",
True,3,20,"('compression', 'window')",
True,3,20,"('window',)",7.040352772388054
True,3,20,"('compression',)",7.040352772388054
True,3,25,"('compression', 'window')",
True,3,25,"('window',)",8.744667732798986
True,3,25,"('compression',)",8.744667732798986
True,3,30,"('compression', 'window')",
True,3,30,"('window',)",7.554738304064122
True,3,30,"('compression',)",7.554738304064122
True,3,35,"('compression', 'window')",
True,3,35,"('window',)",7.370396510258123
True,3,35,"('compression',)",7.370396510258123
True,3,40,"('compression', 'window')",
True,3,40,"('compression',)",7.352919610152862
True,3,45,"('compression', 'window')",
True,3,45,"('window',)",6.872768554599669
True,3,50,"('compression', 'window')",
True,3,50,"('window',)",7.361638428187527
True,3,55,"('compression',)",7.575371730587626
True,3,55,"('compression', 'window')",
True,3,55,"('window',)",7.575371730587626
True,3,60,"('compression',)",8.351406339904651
True,3,60,"('compression', 'window')",
True,3,60,"('window',)",8.351406339904651
True,4,15,"('window',)",15.724515010788776
True,4,15,"('compression', 'window')",
True,4,15,"('compression',)",15.724515010788776
True,4,20,"('window',)",12.130259629234937
True,4,20,"('compression', 'window')",
True,4,25,"('window',)",12.80149840654527
True,4,25,"('compression',)",12.80149840654527
True,4,25,"('compression', 'window')",
True,4,30,"('window',)",11.893247704013952
True,4,30,"('compression',)",11.893247704013952
