is_active,repetition,iteration,feature,first_option_value,second_option_value,taskID,window,compression
True,0,10,,,,59,14,10
True,0,10,,,,72,15,11
True,0,10,,,,102,18,5
True,0,10,,,,104,18,7
True,0,10,,,,106,18,9
True,0,10,,,,129,20,8
True,0,10,,,,142,21,9
True,0,10,,,,150,22,5
True,0,10,,,,153,22,8
True,0,10,,,,177,24,8
True,0,15,"('window',)",24.0,,175,24,6
True,0,15,"('window',)",24.0,,176,24,7
True,0,15,"('window',)",24.0,,178,24,9
True,0,15,"('window',)",24.0,,179,24,10
True,0,15,"('window',)",24.0,,180,24,11
True,0,20,"('window',)",15.0,,71,15,10
True,0,20,"('window',)",21.0,,140,21,7
True,0,20,"('window',)",21.0,,141,21,8
True,0,20,"('window',)",21.0,,143,21,10
True,0,20,"('window',)",21.0,,144,21,11
True,0,25,"('compression',)",6.0,,127,20,6
True,0,25,"('window',)",20.0,,128,20,7
True,0,25,"('window',)",20.0,,130,20,9
True,0,25,"('window',)",20.0,,131,20,10
True,0,25,"('compression',)",6.0,,151,22,6
True,0,30,"('compression',)",5.0,,114,19,5
True,0,30,"('compression',)",5.0,,126,20,5
True,0,30,"('window',)",22.0,,155,22,10
True,0,30,"('window',)",22.0,,156,22,11
True,0,30,"('compression',)",5.0,,174,24,5
True,0,35,"('compression',)",6.0,,115,19,6
True,0,35,"('window',)",19.0,,117,19,8
True,0,35,"('window',)",19.0,,118,19,9
True,0,35,"('window',)",19.0,,119,19,10
True,0,35,"('compression',)",6.0,,163,23,6
True,0,40,"('compression',)",7.0,,152,22,7
True,0,40,"('compression',)",7.0,,164,23,7
True,0,40,"('window',)",23.0,,166,23,9
True,0,40,"('window',)",23.0,,167,23,10
True,0,40,"('window',)",23.0,,168,23,11
True,0,45,"('compression',)",10.0,,23,11,10
True,0,45,"('compression',)",6.0,,103,18,6
True,0,45,"('window',)",18.0,,105,18,8
True,0,45,"('window',)",18.0,,107,18,10
True,0,45,"('window',)",18.0,,108,18,11
True,0,50,"('window',)",11.0,,24,11,11
True,0,50,"('window',)",14.0,,60,14,11
True,0,50,"('compression',)",5.0,,90,17,5
True,0,50,"('compression',)",10.0,,95,17,10
True,0,50,"('window',)",17.0,,96,17,11
True,0,55,"('window',)",12.0,,36,12,11
True,0,55,"('window',)",16.0,,83,16,10
True,0,55,"('window',)",16.0,,84,16,11
True,0,55,"('window',)",17.0,,94,17,9
True,0,55,"('window',)",19.0,,116,19,7
True,0,60,,,,47,13,10
True,0,60,,,,48,13,11
True,0,60,,,,92,17,7
True,0,60,,,,93,17,8
True,0,60,,,,165,23,8
True,1,10,,,,23,11,10
True,1,10,,,,24,11,11
True,1,10,,,,48,13,11
True,1,10,,,,60,14,11
True,1,10,,,,72,15,11
True,1,10,,,,90,17,5
True,1,10,,,,93,17,8
True,1,10,,,,94,17,9
True,1,10,,,,130,20,9
True,1,10,,,,179,24,10
True,1,15,,,,59,14,10
True,1,15,,,,131,20,10
True,1,15,,,,153,22,8
True,1,15,,,,156,22,11
True,1,15,,,,164,23,7
True,1,20,,,,71,15,10
True,1,20,,,,83,16,10
True,1,20,,,,120,19,11
True,1,20,,,,126,20,5
True,1,20,,,,143,21,10
True,1,25,"('window',)",21.0,,144,21,11
True,1,25,"('window',)",23.0,,162,23,5
True,1,25,"('window',)",23.0,,166,23,9
True,1,25,"('window',)",23.0,,167,23,10
True,1,25,"('window',)",23.0,,168,23,11
True,1,30,,,,91,17,6
True,1,30,,,,114,19,5
True,1,30,,,,127,20,6
True,1,30,,,,174,24,5
True,1,30,,,,178,24,9
True,1,35,"('window',)",17.0,,92,17,7
True,1,35,"('window',)",17.0,,95,17,10
True,1,35,"('window',)",17.0,,96,17,11
True,1,35,"('compression',)",7.0,,128,20,7
True,1,35,"('compression',)",7.0,,140,21,7
True,1,40,"('window',)",16.0,,84,16,11
True,1,40,"('compression',)",6.0,,103,18,6
True,1,40,"('compression',)",6.0,,139,21,6
True,1,40,"('window',)",22.0,,155,22,10
True,1,40,"('window',)",24.0,,180,24,11
True,1,45,"('window',)",18.0,,105,18,8
True,1,45,"('window',)",18.0,,106,18,9
True,1,45,"('compression',)",8.0,,117,19,8
True,1,45,"('compression',)",8.0,,129,20,8
True,1,45,"('compression',)",8.0,,177,24,8
True,1,50,"('compression',)",10.0,,35,12,10
True,1,50,"('window',)",18.0,,102,18,5
True,1,50,"('window',)",18.0,,108,18,11
True,1,50,"('compression',)",10.0,,119,19,10
True,1,50,"('compression',)",6.0,,175,24,6
True,1,55,"('window',)",12.0,,36,12,11
True,1,55,"('compression',)",7.0,,104,18,7
True,1,55,"('window',)",20.0,,132,20,11
True,1,55,"('window',)",21.0,,138,21,5
True,1,55,"('compression',)",7.0,,176,24,7
True,1,60,,,,107,18,10
True,1,60,,,,116,19,7
True,1,60,,,,118,19,9
True,1,60,,,,152,22,7
True,1,60,,,,154,22,9
True,2,10,,,,60,14,11
True,2,10,,,,84,16,11
True,2,10,,,,93,17,8
True,2,10,,,,96,17,11
True,2,10,,,,105,18,8
True,2,10,,,,127,20,6
True,2,10,,,,138,21,5
True,2,10,,,,141,21,8
True,2,10,,,,152,22,7
True,2,10,,,,180,24,11
True,2,15,,,,90,17,5
True,2,15,,,,95,17,10
True,2,15,,,,131,20,10
True,2,15,,,,153,22,8
True,2,15,,,,176,24,7
True,2,20,,,,104,18,7
True,2,20,,,,108,18,11
True,2,20,,,,174,24,5
True,2,20,,,,178,24,9
True,2,20,,,,179,24,10
True,2,25,,,,24,11,11
True,2,25,,,,36,12,11
True,2,25,,,,91,17,6
True,2,25,,,,106,18,9
True,2,25,,,,143,21,10
True,2,30,,,,102,18,5
True,2,30,,,,115,19,6
True,2,30,,,,117,19,8
True,2,30,,,,154,22,9
True,2,30,,,,162,23,5
True,2,35,"('compression',)",9.0,,94,17,9
True,2,35,"('compression',)",9.0,,118,19,9
True,2,35,"('compression',)",9.0,,130,20,9
True,2,35,"('compression',)",9.0,,142,21,9
True,2,35,"('compression',)",9.0,,166,23,9
True,2,40,"('compression',)",10.0,,47,13,10
True,2,40,"('compression',)",11.0,,72,15,11
True,2,40,"('compression',)",7.0,,92,17,7
True,2,40,"('compression',)",5.0,,114,19,5
True,2,40,"('window',)",23.0,,167,23,10
