is_active,model_name,repetition,iteration,function_name,feature,influence,min_influence,max_influence,mape
True,p4,0,15,weighted_p4_influences_by_functions_system_results,"('compression', 'window')",134.1666259765625,133.63076782226562,134.70248413085938,
True,p4,0,15,average_p4_influences_system_results,"('compression', 'window')",134.1666259765625,133.63076782226562,134.70248413085938,
True,p4,0,15,weighted_p4_influences_by_vif_system_results,"('compression', 'window')",134.1666259765625,133.63076782226562,134.70248413085938,
True,p4,0,20,weighted_p4_influences_by_functions_system_results,"('compression', 'window')",1.505619764328003,1.505619764328003,1.505619764328003,
True,p4,0,20,average_p4_influences_system_results,"('compression', 'window')",1.505619764328003,1.505619764328003,1.505619764328003,
True,p4,0,20,weighted_p4_influences_by_vif_system_results,"('compression', 'window')",1.505619764328003,1.505619764328003,1.505619764328003,
True,p4,0,25,weighted_p4_influences_by_functions_system_results,"('compression', 'window')",1.6942798495292664,1.5330291986465454,1.8555305004119875,
True,p4,0,25,average_p4_influences_system_results,"('compression', 'window')",1.6942798495292664,1.5330291986465454,1.8555305004119875,
True,p4,0,25,weighted_p4_influences_by_vif_system_results,"('compression', 'window')",1.6942798495292664,1.5330291986465454,1.8555305004119875,
True,p4,0,30,weighted_p4_influences_by_functions_system_results,"('compression', 'window')",1.637415647506714,1.4883155822753906,1.786515712738037,
True,p4,0,30,average_p4_influences_system_results,"('compression', 'window')",1.637415647506714,1.4883155822753906,1.786515712738037,
True,p4,0,30,weighted_p4_influences_by_vif_system_results,"('compression', 'window')",1.637415647506714,1.4883155822753906,1.786515712738037,
True,p4,0,35,weighted_p4_influences_by_functions_system_results,"('compression', 'window')",3.799360001721652e-06,3.799360001721652e-06,3.799360001721652e-06,
True,p4,0,35,average_p4_influences_system_results,"('compression', 'window')",3.799360001721652e-06,3.799360001721652e-06,3.799360001721652e-06,
True,p4,0,35,weighted_p4_influences_by_vif_system_results,"('compression', 'window')",3.799360001721652e-06,3.799360001721652e-06,3.799360001721652e-06,
True,p4,0,45,weighted_p4_influences_by_functions_system_results,"('window',)",1.300910472869873,1.2998046875,1.302016258239746,
True,p4,0,45,weighted_p4_influences_by_functions_system_results,"('compression',)",0.2868798077106476,0.2861090898513794,0.2876505255699157,
True,p4,0,45,weighted_p4_influences_by_functions_system_results,"('compression', 'window')",1.876694917678833,1.8764283657073968,1.8769614696502688,
True,p4,0,45,average_p4_influences_system_results,"('window',)",1.300910472869873,1.2998046875,1.302016258239746,
True,p4,0,45,average_p4_influences_system_results,"('compression',)",0.2868798077106476,0.2861090898513794,0.2876505255699157,
True,p4,0,45,average_p4_influences_system_results,"('compression', 'window')",1.876694917678833,1.8764283657073968,1.8769614696502688,
True,p4,0,45,weighted_p4_influences_by_vif_system_results,"('window',)",1.300910472869873,1.2998046875,1.302016258239746,
True,p4,0,45,weighted_p4_influences_by_vif_system_results,"('compression',)",0.2868798077106476,0.2861090898513794,0.2876505255699157,
True,p4,0,45,weighted_p4_influences_by_vif_system_results,"('compression', 'window')",1.876694917678833,1.8764283657073968,1.8769614696502688,
True,p4,0,50,weighted_p4_influences_by_functions_system_results,"('window',)",1.298790693283081,1.297143816947937,1.300437569618225,
True,p4,0,50,weighted_p4_influences_by_functions_system_results,"('compression',)",0.2896998077630996,0.2884410321712494,0.2909585833549499,
True,p4,0,50,weighted_p4_influences_by_functions_system_results,"('compression', 'window')",1.8665931820869448,1.8608248233795168,1.8723615407943728,
True,p4,0,50,average_p4_influences_system_results,"('window',)",1.298790693283081,1.297143816947937,1.300437569618225,
True,p4,0,50,average_p4_influences_system_results,"('compression',)",0.2896998077630996,0.2884410321712494,0.2909585833549499,
True,p4,0,50,average_p4_influences_system_results,"('compression', 'window')",1.8665931820869448,1.8608248233795168,1.8723615407943728,
True,p4,0,50,weighted_p4_influences_by_vif_system_results,"('window',)",1.298790693283081,1.297143816947937,1.300437569618225,
True,p4,0,50,weighted_p4_influences_by_vif_system_results,"('compression',)",0.2896998077630996,0.2884410321712494,0.2909585833549499,
True,p4,0,50,weighted_p4_influences_by_vif_system_results,"('compression', 'window')",1.8665931820869448,1.8608248233795168,1.8723615407943728,
True,p4,0,60,weighted_p4_influences_by_functions_system_results,"('window',)",0.0147237251512706,0.0147225568071007,0.0147248934954404,
True,p4,0,60,average_p4_influences_system_results,"('window',)",0.0147237251512706,0.0147225568071007,0.0147248934954404,
True,p4,0,60,weighted_p4_influences_by_vif_system_results,"('window',)",0.0147237251512706,0.0147225568071007,0.0147248934954404,
True,p4,1,15,weighted_p4_influences_by_functions_system_results,"('window',)",-900.1274719238281,-904.5049438476562,-895.75,
True,p4,1,15,weighted_p4_influences_by_functions_system_results,"('compression', 'window')",225.09734344482425,224.5939483642578,225.60073852539065,
True,p4,1,15,average_p4_influences_system_results,"('window',)",-900.1274719238281,-904.5049438476562,-895.75,
True,p4,1,15,average_p4_influences_system_results,"('compression', 'window')",225.09734344482425,224.5939483642578,225.60073852539065,
True,p4,1,15,weighted_p4_influences_by_vif_system_results,"('window',)",-900.1274719238281,-904.5049438476562,-895.75,
True,p4,1,15,weighted_p4_influences_by_vif_system_results,"('compression', 'window')",225.09734344482425,224.5939483642578,225.60073852539065,
True,p4,1,20,weighted_p4_influences_by_functions_system_results,"('window',)",-1607.870849609375,-1615.8057861328125,-1599.9359130859375,
True,p4,1,20,weighted_p4_influences_by_functions_system_results,"('compression', 'window')",381.7502746582031,381.0433654785156,382.4571838378906,
True,p4,1,20,average_p4_influences_system_results,"('window',)",-1607.870849609375,-1615.8057861328125,-1599.9359130859375,
True,p4,1,20,average_p4_influences_system_results,"('compression', 'window')",381.7502746582031,381.0433654785156,382.4571838378906,
True,p4,1,20,weighted_p4_influences_by_vif_system_results,"('window',)",-1607.870849609375,-1615.8057861328125,-1599.9359130859375,
True,p4,1,20,weighted_p4_influences_by_vif_system_results,"('compression', 'window')",381.7502746582031,381.0433654785156,382.4571838378906,
True,p4,1,25,weighted_p4_influences_by_functions_system_results,"('window',)",-1.54227614402771,-1.5435179471969604,-1.5410343408584597,
True,p4,1,25,weighted_p4_influences_by_functions_system_results,"('compression',)",-0.1734788566827774,-0.1740404516458511,-0.1729172617197036,
True,p4,1,25,weighted_p4_influences_by_functions_system_results,"('compression', 'window')",-1.7589830160140991,-1.759515643119812,-1.7584503889083862,
True,p4,1,25,average_p4_influences_system_results,"('window',)",-1.54227614402771,-1.5435179471969604,-1.5410343408584597,
True,p4,1,25,average_p4_influences_system_results,"('compression',)",-0.1734788566827774,-0.1740404516458511,-0.1729172617197036,
True,p4,1,25,average_p4_influences_system_results,"('compression', 'window')",-1.7589830160140991,-1.759515643119812,-1.7584503889083862,
True,p4,1,25,weighted_p4_influences_by_vif_system_results,"('window',)",-1.54227614402771,-1.5435179471969604,-1.5410343408584597,
True,p4,1,25,weighted_p4_influences_by_vif_system_results,"('compression',)",-0.1734788566827774,-0.1740404516458511,-0.1729172617197036,
True,p4,1,25,weighted_p4_influences_by_vif_system_results,"('compression', 'window')",-1.7589830160140991,-1.759515643119812,-1.7584503889083862,
True,p4,1,45,weighted_p4_influences_by_functions_system_results,"('compression', 'window')",-0.2770916670560837,-0.2805888950824737,-0.2735944390296936,
True,p4,1,45,average_p4_influences_system_results,"('compression', 'window')",-0.2770916670560837,-0.2805888950824737,-0.2735944390296936,
True,p4,1,45,weighted_p4_influences_by_vif_system_results,"('compression', 'window')",-0.2770916670560837,-0.2805888950824737,-0.2735944390296936,
True,p4,1,50,weighted_p4_influences_by_functions_system_results,"('compression', 'window')",-0.2242450416088104,-0.2253466248512268,-0.223143458366394,
True,p4,1,50,average_p4_influences_system_results,"('compression', 'window')",-0.2242450416088104,-0.2253466248512268,-0.223143458366394,
True,p4,1,50,weighted_p4_influences_by_vif_system_results,"('compression', 'window')",-0.2242450416088104,-0.2253466248512268,-0.223143458366394,
True,p4,1,55,weighted_p4_influences_by_functions_system_results,"('compression', 'window')",-0.2187675014138221,-0.2195057570934295,-0.2180292457342147,
True,p4,1,55,average_p4_influences_system_results,"('compression', 'window')",-0.2187675014138221,-0.2195057570934295,-0.2180292457342147,
True,p4,1,55,weighted_p4_influences_by_vif_system_results,"('compression', 'window')",-0.2187675014138221,-0.2195057570934295,-0.2180292457342147,
True,p4,1,60,weighted_p4_influences_by_functions_system_results,"('compression', 'window')",-0.2420137971639633,-0.2425654530525207,-0.2414621412754058,
