is_active,repetition,iteration,feature,first_option_value,second_option_value,taskID,window,compression
False,0,10,,,,33,12,8
False,0,10,,,,44,13,7
False,0,10,,,,69,15,8
False,0,10,,,,103,18,6
False,0,10,,,,116,19,7
False,0,10,,,,119,19,10
False,0,10,,,,151,22,6
False,0,10,,,,154,22,9
False,0,10,,,,162,23,5
False,0,10,,,,177,24,8
False,0,15,,,,11,10,10
False,0,15,,,,48,13,11
False,0,15,,,,56,14,7
False,0,15,,,,108,18,11
False,0,15,,,,163,23,6
False,0,20,,,,32,12,7
False,0,20,,,,59,14,10
False,0,20,,,,118,19,9
False,0,20,,,,129,20,8
False,0,20,,,,164,23,7
False,0,25,,,,35,12,10
False,0,25,,,,68,15,7
False,0,25,,,,102,18,5
False,0,25,,,,107,18,10
False,0,25,,,,127,20,6
False,0,30,,,,95,17,10
False,0,30,,,,115,19,6
False,0,30,,,,130,20,9
False,0,30,,,,165,23,8
False,0,30,,,,168,23,11
False,0,35,,,,12,10,11
False,0,35,,,,72,15,11
False,0,35,,,,84,16,11
False,0,35,,,,176,24,7
False,0,35,,,,179,24,10
False,0,40,,,,21,11,8
False,0,40,,,,47,13,10
False,0,40,,,,90,17,5
False,0,40,,,,128,20,7
False,0,40,,,,152,22,7
False,0,45,,,,9,10,8
False,0,45,,,,83,16,10
False,0,45,,,,96,17,11
False,0,45,,,,178,24,9
False,0,45,,,,180,24,11
False,0,50,,,,36,12,11
False,0,50,,,,80,16,7
False,0,50,,,,106,18,9
False,0,50,,,,114,19,5
False,0,50,,,,174,24,5
False,0,55,,,,45,13,8
False,0,55,,,,57,14,8
False,0,55,,,,71,15,10
False,0,55,,,,153,22,8
False,0,55,,,,155,22,10
False,0,60,,,,8,10,7
False,0,60,,,,60,14,11
False,0,60,,,,94,17,9
False,0,60,,,,140,21,7
False,0,60,,,,143,21,10
False,1,10,,,,9,10,8
False,1,10,,,,21,11,8
False,1,10,,,,33,12,8
False,1,10,,,,44,13,7
False,1,10,,,,56,14,7
False,1,10,,,,104,18,7
False,1,10,,,,151,22,6
False,1,10,,,,163,23,6
False,1,10,,,,164,23,7
False,1,10,,,,167,23,10
False,1,15,,,,20,11,7
False,1,15,,,,114,19,5
False,1,15,,,,132,20,11
False,1,15,,,,140,21,7
False,1,15,,,,155,22,10
False,1,20,,,,23,11,10
False,1,20,,,,24,11,11
False,1,20,,,,95,17,10
False,1,20,,,,96,17,11
False,1,20,,,,128,20,7
False,1,25,,,,32,12,7
False,1,25,,,,35,12,10
False,1,25,,,,105,18,8
False,1,25,,,,131,20,10
False,1,25,,,,156,22,11
False,1,30,,,,45,13,8
False,1,30,,,,90,17,5
False,1,30,,,,115,19,6
False,1,30,,,,166,23,9
False,1,30,,,,178,24,9
False,1,35,,,,81,16,8
False,1,35,,,,92,17,7
False,1,35,,,,116,19,7
False,1,35,,,,120,19,11
False,1,35,,,,138,21,5
False,1,40,,,,48,13,11
False,1,40,,,,102,18,5
False,1,40,,,,103,18,6
False,1,40,,,,139,21,6
False,1,40,,,,168,23,11
False,1,45,,,,36,12,11
False,1,45,,,,57,14,8
False,1,45,,,,69,15,8
False,1,45,,,,84,16,11
False,1,45,,,,165,23,8
False,1,50,,,,59,14,10
False,1,50,,,,60,14,11
False,1,50,,,,83,16,10
False,1,50,,,,91,17,6
False,1,50,,,,150,22,5
False,1,55,,,,8,10,7
False,1,55,,,,71,15,10
False,1,55,,,,119,19,10
False,1,55,,,,162,23,5
False,1,55,,,,180,24,11
False,1,60,,,,11,10,10
False,1,60,,,,72,15,11
False,1,60,,,,129,20,8
False,1,60,,,,174,24,5
False,1,60,,,,176,24,7
False,2,10,,,,24,11,11
False,2,10,,,,48,13,11
False,2,10,,,,71,15,10
False,2,10,,,,96,17,11
False,2,10,,,,107,18,10
False,2,10,,,,115,19,6
False,2,10,,,,119,19,10
False,2,10,,,,126,20,5
False,2,10,,,,164,23,7
False,2,10,,,,167,23,10
False,2,15,,,,47,13,10
False,2,15,,,,69,15,8
False,2,15,,,,128,20,7
False,2,15,,,,144,21,11
False,2,15,,,,177,24,8
False,2,20,,,,81,16,8
False,2,20,,,,91,17,6
False,2,20,,,,174,24,5
False,2,20,,,,178,24,9
False,2,20,,,,179,24,10
