is_active,repetition,iteration,feature,first_option_value,second_option_value,taskID,cores,ram,level,encrypt,wind_size_unl,threshold,compression
True,0,10,,,,10,2,18,7,0,1,0,0
True,0,10,,,,22,3,2,3,0,1,0,0
True,0,10,,,,37,1,2,5,0,1,1,0
True,0,10,,,,48,1,2,1,0,1,1,0
True,0,10,,,,68,2,6,6,0,1,0,0
True,0,10,,,,88,1,2,6,0,1,1,0
True,0,10,,,,104,4,2,5,1,0,1,0
True,0,10,,,,118,4,2,9,0,1,0,1
True,0,10,,,,173,3,2,1,0,1,1,0
True,0,10,,,,193,1,6,6,1,0,1,0
True,0,15,"('level', 'wind_size_unl')",7.0,1.0,17,2,2,7,0,1,1,0
True,0,15,"('level', 'wind_size_unl')",7.0,1.0,127,1,2,7,1,1,0,0
True,0,15,"('level', 'ram')",7.0,18.0,130,4,18,7,0,0,1,2
True,0,15,"('level', 'threshold')",7.0,0.0,141,3,6,7,0,1,0,0
True,0,15,"('cores', 'ram')",2.0,18.0,189,2,18,1,1,0,1,0
True,0,20,"('cores', 'level')",3.0,7.0,39,3,2,7,1,0,0,2
True,0,20,"('compression', 'ram')",2.0,18.0,63,2,18,7,0,1,1,2
True,0,20,"('ram',)",18.0,,91,3,18,4,1,0,1,0
True,0,20,"('level', 'ram')",7.0,6.0,155,4,6,7,0,0,1,0
True,0,20,"('level',)",3.0,,175,1,2,3,0,1,1,0
True,0,25,"('cores',)",4.0,,42,4,6,2,0,1,0,2
True,0,25,"('cores',)",4.0,,43,4,18,6,0,0,1,0
True,0,25,"('compression', 'ram')",2.0,2.0,134,3,2,4,1,1,1,2
True,0,25,"('level', 'wind_size_unl')",5.0,1.0,171,4,2,5,1,1,1,1
True,0,25,"('compression', 'level')",0.0,4.0,177,2,18,4,1,1,0,0
True,0,30,"('ram',)",6.0,,7,2,6,5,0,1,0,0
True,0,30,"('threshold',)",0.0,,28,3,6,1,1,0,0,0
True,0,30,"('compression', 'level')",2.0,2.0,136,1,2,2,1,0,1,2
True,0,30,"('cores', 'level')",1.0,1.0,148,1,6,1,1,0,1,0
True,0,30,"('level',)",2.0,,195,3,6,2,0,1,1,0
True,0,35,"('cores',)",2.0,,14,2,2,7,0,1,1,0
True,0,35,"('level',)",9.0,,57,4,2,9,1,0,1,1
True,0,35,"('cores', 'wind_size_unl')",2.0,0.0,123,2,2,5,1,0,1,0
True,0,35,"('level', 'wind_size_unl')",5.0,0.0,137,2,2,5,1,0,1,0
True,0,35,"('encrypt', 'level')",1.0,6.0,199,2,2,6,1,1,0,0
True,0,40,"('cores',)",1.0,,58,1,6,4,1,0,0,2
True,0,40,"('threshold',)",0.0,,82,1,6,4,1,1,0,0
True,0,40,"('compression', 'level')",0.0,2.0,92,4,6,2,0,1,0,0
True,0,40,"('level',)",3.0,,142,4,2,3,1,0,0,0
True,0,40,"('level', 'wind_size_unl')",4.0,0.0,149,3,2,4,1,0,0,0
True,0,45,"('cores',)",1.0,,13,1,18,9,0,1,1,2
True,0,45,"('cores',)",1.0,,16,1,6,2,0,1,1,0
True,0,45,"('level', 'wind_size_unl')",3.0,0.0,76,4,6,3,1,0,1,0
True,0,45,"('compression', 'ram')",2.0,18.0,78,2,18,5,1,1,0,2
True,0,45,"('level',)",3.0,,83,1,6,3,1,0,0,0
True,0,50,"('encrypt',)",0.0,,11,4,6,4,0,1,0,0
True,0,50,"('wind_size_unl',)",0.0,,23,1,6,6,0,0,1,0
True,0,50,"('cores',)",3.0,,74,3,18,4,1,0,1,0
True,0,50,"('level',)",9.0,,124,2,6,9,0,0,1,0
True,0,50,"('level', 'wind_size_unl')",2.0,0.0,160,3,18,2,0,0,0,1
