is_active,repetition,iteration,feature,vif
True,0,15,"('cores', 'ram')",5.964737505249895
True,0,15,"('cores', 'level')",14.445561139028484
True,0,15,"('level', 'ram')",1.794023393686909
True,0,15,"('level', 'wind_size_unl')",6.034220247603832
True,0,15,"('level', 'threshold')",2.842054574638844
True,0,20,"('level', 'ram')",2.8125289446150155
True,0,20,"('compression', 'ram')",5.5346134457446645
True,0,20,"('cores', 'level')",8.931745332080776
True,0,20,"('ram',)",2.1826200729072656
True,0,20,"('level',)",7.8246344236846275
True,0,25,"('cores', 'ram')",3.862287202718493
True,0,25,"('cores', 'level')",3.207986907434345
True,0,25,"('level', 'ram')",2.7646587975174994
True,0,25,"('encrypt', 'ram')",2.926964253846405
True,0,25,"('compression', 'ram')",3.00371535957373
True,0,25,"('encrypt', 'level')",1.9819008386511328
True,0,25,"('level', 'wind_size_unl')",2.543947032138457
True,0,25,"('compression', 'level')",2.203944298945045
True,0,25,"('cores',)",5.073387174094483
True,0,25,"('ram',)",2.375973178368949
True,0,25,"('level',)",7.51084395352574
True,0,30,"('ram',)",2.019553538479169
True,0,30,"('cores', 'ram')",3.964036161857989
True,0,30,"('cores', 'level')",3.2088726097800926
True,0,30,"('level', 'ram')",3.511537103392584
True,0,30,"('level', 'wind_size_unl')",3.1921022477038856
True,0,30,"('compression', 'level')",2.381326132173533
True,0,30,"('compression', 'ram')",2.6448326916852696
True,0,30,"('encrypt', 'ram')",3.161427488054988
True,0,30,"('ram', 'wind_size_unl')",4.809101904667142
True,0,30,"('level', 'threshold')",3.3733253038037705
True,0,30,"('cores',)",5.837872077187733
True,0,30,"('level',)",6.251029699727528
True,0,35,"('ram',)",2.192224090956777
True,0,35,"('cores', 'level')",3.3837191500607817
True,0,35,"('level', 'ram')",4.127243267373927
True,0,35,"('encrypt', 'ram')",3.048233685151628
True,0,35,"('ram', 'wind_size_unl')",4.186380176752356
True,0,35,"('compression', 'ram')",2.924877093606076
True,0,35,"('level', 'wind_size_unl')",3.8298428832131273
True,0,35,"('compression', 'level')",2.981992808610304
True,0,35,"('cores', 'ram')",3.873787574420567
True,0,35,"('level',)",5.35287118207265
True,0,35,"('cores', 'wind_size_unl')",4.198966038733355
True,0,35,"('ram', 'threshold')",3.90964298665768
True,0,35,"('encrypt', 'level')",2.701846890845032
True,0,35,"('level', 'threshold')",3.9502904853864176
True,0,35,"('encrypt',)",2.218512046619104
True,0,35,"('threshold',)",2.10741353001389
True,0,35,"('cores',)",6.347629116873425
True,0,40,"('cores', 'ram')",3.576233572498492
True,0,40,"('cores', 'level')",2.665904314774167
True,0,40,"('level', 'ram')",3.9256994377585976
True,0,40,"('ram', 'threshold')",3.708753021904749
True,0,40,"('compression', 'ram')",2.8327562841792218
True,0,40,"('compression', 'level')",2.893392856777889
True,0,40,"('cores', 'wind_size_unl')",3.479225996557393
True,0,40,"('encrypt', 'level')",2.876867518032437
True,0,40,"('level', 'wind_size_unl')",3.711811496438439
True,0,40,"('level', 'threshold')",3.812156469753171
True,0,40,"('encrypt', 'ram')",3.038670001006989
True,0,40,"('ram', 'wind_size_unl')",4.093340520828461
True,0,40,"('level',)",5.596035057309393
True,0,40,"('encrypt',)",2.207205355741007
True,0,40,"('threshold',)",1.800145329635796
True,0,40,"('cores',)",5.7900447218927695
True,0,40,"('ram',)",2.0940543781389858
True,0,45,"('ram',)",2.1703595175037216
True,0,45,"('cores', 'ram')",3.9165926997204488
True,0,45,"('cores', 'level')",2.772627407675868
True,0,45,"('level', 'ram')",3.254212910604769
True,0,45,"('ram', 'threshold')",3.851310070092316
True,0,45,"('compression', 'ram')",2.9320858928888778
True,0,45,"('compression', 'level')",2.5734839270847965
True,0,45,"('level',)",4.514012856574014
True,0,45,"('ram', 'wind_size_unl')",4.168555691116096
True,0,45,"('encrypt', 'level')",2.679841097203755
True,0,45,"('level', 'wind_size_unl')",2.938808637887942
True,0,45,"('encrypt', 'ram')",2.8084343639023914
True,0,45,"('encrypt',)",2.103541990046096
True,0,45,"('threshold',)",1.7923070984122078
True,0,45,"('cores',)",5.225903318912498
True,0,45,"('wind_size_unl',)",1.9950690626448693
True,0,50,"('ram',)",2.182832934721205
True,0,50,"('cores', 'ram')",3.7259390735282976
True,0,50,"('cores', 'level')",2.8114558925954363
True,0,50,"('level', 'ram')",2.9249966317500813
True,0,50,"('ram', 'threshold')",3.487889815019793
True,0,50,"('compression', 'ram')",2.8301512635341326
True,0,50,"('level', 'wind_size_unl')",2.8853578852132435
True,0,50,"('compression', 'level')",2.287271213840654
True,0,50,"('level',)",4.160754529572007
True,0,50,"('cores', 'wind_size_unl')",3.47668112090507
True,0,50,"('encrypt', 'ram')",2.8332537996402727
True,0,50,"('ram', 'wind_size_unl')",3.7088878825108815
True,0,50,"('encrypt', 'level')",2.783285531063582
True,0,50,"('cores',)",4.839940887309377
True,0,50,"('encrypt',)",2.0122452290739754
True,0,50,"('threshold',)",1.840882024181249
True,0,55,"('ram',)",2.2616014563792004
True,0,55,"('cores', 'level')",2.487441533638331
True,0,55,"('level', 'ram')",2.7908766144141857
True,0,55,"('ram', 'threshold')",3.1428300146300336
True,0,55,"('compression', 'ram')",2.659734269845281
True,0,55,"('compression', 'level')",2.4043137353402413
True,0,55,"('level',)",3.885590945844728
True,0,55,"('cores', 'ram')",3.925232085439109
True,0,55,"('ram', 'wind_size_unl')",3.479254732875464
True,0,55,"('encrypt', 'level')",2.758763860901861
True,0,55,"('level', 'wind_size_unl')",2.883935911854829
True,0,55,"('level', 'threshold')",2.880533943637611
True,0,55,"('cores',)",4.3012775351846
True,0,55,"('encrypt',)",1.846300135951608
True,0,60,"('cores', 'level')",2.4934654403686087
True,0,60,"('level', 'ram')",2.937038085246729
True,0,60,"('compression', 'ram')",2.5931470443518965
True,0,60,"('compression', 'level')",2.3386123479783056
True,0,60,"('ram',)",2.214245606756354
True,0,60,"('level',)",3.783536345312956
True,0,60,"('cores', 'ram')",3.638731899193692
True,0,60,"('encrypt', 'ram')",2.501455549039032
True,0,60,"('ram', 'wind_size_unl')",3.3499979168007483
True,0,60,"('ram', 'threshold')",3.2024320277010405
True,0,60,"('encrypt', 'level')",2.9120721095768314
True,0,60,"('level', 'wind_size_unl')",3.0884160967850183
True,0,60,"('cores', 'wind_size_unl')",3.4950158506847644
True,0,60,"('level', 'threshold')",3.1097539471697537
True,0,65,"('cores', 'level')",2.582383947311852
True,0,65,"('level', 'ram')",2.999311642920297
True,0,65,"('compression', 'ram')",2.4454646854947613
True,0,65,"('ram',)",2.3499853861037234
True,0,65,"('level',)",4.067290623983018
True,0,65,"('cores', 'ram')",3.609610365642672
True,0,65,"('encrypt', 'ram')",2.2869446564341778
True,0,65,"('ram', 'wind_size_unl')",2.838445952832448
True,0,65,"('ram', 'threshold')",2.8346454372903027
True,0,65,"('encrypt', 'level')",2.8524532323698795
True,0,65,"('level', 'wind_size_unl')",3.090266777156955
True,0,65,"('level', 'threshold')",3.1773030455358726
True,0,65,"('compression', 'level')",2.257446704371232
True,0,65,"('cores', 'encrypt')",2.873473945214796
True,0,65,"('cores', 'wind_size_unl')",3.4850307642608467
True,0,65,"('compression', 'cores')",2.693486836455388
True,0,65,"('cores',)",4.126003568532673
True,0,65,"('wind_size_unl',)",1.876561545764495
True,0,70,"('cores', 'level')",2.569776161916512
True,0,70,"('level', 'ram')",2.948358209969973
True,0,70,"('ram', 'threshold')",2.6997827328954145
True,0,70,"('compression', 'ram')",2.3055578322962416
True,0,70,"('ram',)",2.346124824656377
True,0,70,"('level',)",4.0530321273239895
True,0,70,"('cores', 'ram')",3.538812777828905
True,0,70,"('compression', 'cores')",2.536861706297626
True,0,70,"('encrypt', 'ram')",2.3508073064523543
True,0,70,"('ram', 'wind_size_unl')",2.770440013626408
True,0,70,"('encrypt', 'level')",2.788613047281322
True,0,70,"('level', 'wind_size_unl')",3.098463317160576
True,0,70,"('level', 'threshold')",3.2213436884843074
True,0,70,"('compression', 'level')",2.235972746466378
True,0,70,"('cores',)",3.9842936541642575
True,0,70,"('cores', 'encrypt')",2.874547441073931
True,0,70,"('cores', 'wind_size_unl')",3.4627608361082456
True,0,70,"('cores', 'threshold')",3.432567520401657
True,0,70,"('wind_size_unl',)",1.8115736493950985
True,0,75,"('ram',)",2.365838119732008
True,0,75,"('level',)",4.298128872461148
True,0,75,"('cores', 'ram')",3.38377188255254
True,0,75,"('cores', 'level')",2.575449385052068
True,0,75,"('compression', 'cores')",2.367163572496588
True,0,75,"('level', 'ram')",3.113719788948318
True,0,75,"('encrypt', 'ram')",2.4584025954559467
True,0,75,"('ram', 'wind_size_unl')",2.732885316153336
True,0,75,"('compression', 'ram')",2.2247665768124447
True,0,75,"('encrypt', 'level')",2.9086485772099206
True,0,75,"('level', 'wind_size_unl')",3.160934979467619
True,0,75,"('level', 'threshold')",3.3463089679936413
True,0,75,"('compression', 'level')",2.2122688677185622
True,0,75,"('cores', 'wind_size_unl')",3.253827593647224
True,0,75,"('ram', 'threshold')",2.717838438275144
True,0,75,"('cores',)",4.054445206068903
True,0,75,"('wind_size_unl',)",1.894887091387314
True,0,80,"('ram',)",2.344643494422494
True,0,80,"('level',)",4.133250016615476
True,0,80,"('cores', 'ram')",2.9916693196496578
True,0,80,"('cores', 'level')",2.556304810079539
True,0,80,"('cores', 'wind_size_unl')",2.929111263638008
True,0,80,"('cores', 'threshold')",2.864619943432668
True,0,80,"('compression', 'cores')",2.096568547660174
True,0,80,"('level', 'ram')",3.1455912216307813
True,0,80,"('encrypt', 'ram')",2.4951423410403915
True,0,80,"('ram', 'wind_size_unl')",2.772824909492235
True,0,80,"('ram', 'threshold')",2.625949288745007
True,0,80,"('compression', 'ram')",2.104775917541215
True,0,80,"('encrypt', 'level')",2.8594866601998685
True,0,80,"('level', 'wind_size_unl')",3.225076144775036
True,0,80,"('level', 'threshold')",3.324409705238133
True,0,80,"('compression', 'level')",2.127247633958028
True,0,80,"('cores',)",4.007539121418243
True,0,80,"('wind_size_unl',)",1.794449649228958
True,0,85,"('ram',)",2.3182838722615
True,0,85,"('level',)",4.307071287884408
True,0,85,"('cores', 'ram')",3.0277859164817604
True,0,85,"('cores', 'level')",2.632856025646672
True,0,85,"('cores', 'wind_size_unl')",2.9551787736151818
True,0,85,"('compression', 'cores')",2.1666110703684867
True,0,85,"('level', 'ram')",3.0900754584628007
True,0,85,"('encrypt', 'ram')",2.4759196446821545
True,0,85,"('ram', 'wind_size_unl')",2.867808725664627
True,0,85,"('ram', 'threshold')",2.7401979098352496
True,0,85,"('compression', 'ram')",2.2010073968576696
True,0,85,"('level', 'wind_size_unl')",3.113258576539004
True,0,85,"('level', 'threshold')",3.2288607010703574
True,0,85,"('compression', 'level')",2.159752138272357
True,0,85,"('cores',)",3.879545412993818
True,0,85,"('wind_size_unl',)",1.8346654905269424
True,0,85,"('encrypt',)",1.7622031210875286
True,0,85,"('threshold',)",1.8945350721343992
True,0,90,"('ram',)",2.2659975706119293
True,0,90,"('level',)",4.044354535985038
True,0,90,"('cores', 'ram')",2.915499431533335
True,0,90,"('cores', 'level')",2.53635417681188
True,0,90,"('cores', 'wind_size_unl')",2.856867551909228
True,0,90,"('level', 'ram')",3.268633532340856
True,0,90,"('encrypt', 'ram')",2.472166045623888
True,0,90,"('ram', 'wind_size_unl')",2.9137385685395687
True,0,90,"('ram', 'threshold')",2.752867215812179
True,0,90,"('compression', 'ram')",2.165078749364519
True,0,90,"('level', 'wind_size_unl')",3.224215005850519
True,0,90,"('level', 'threshold')",3.3856955384399368
True,0,90,"('compression', 'level')",2.1824481956177832
True,0,90,"('cores',)",3.7026149069760064
True,0,90,"('wind_size_unl',)",1.8806799994558872
True,0,90,"('encrypt',)",1.712016879859326
True,0,90,"('threshold',)",1.836218166258488
True,0,95,"('ram',)",2.2550300097654468
True,0,95,"('level',)",3.849845477134969
True,0,95,"('cores', 'ram')",2.883791127432061
True,0,95,"('cores', 'level')",2.4553440968054647
True,0,95,"('cores', 'wind_size_unl')",2.8166182418423378
True,0,95,"('level', 'ram')",3.2304792015972588
True,0,95,"('encrypt', 'ram')",2.4827740049085105
True,0,95,"('ram', 'wind_size_unl')",2.989100516612556
True,0,95,"('ram', 'threshold')",2.866939964555731
True,0,95,"('compression', 'ram')",2.185630417940144
True,0,95,"('level', 'wind_size_unl')",3.2122979231329443
True,0,95,"('level', 'threshold')",3.35824396317008
True,0,95,"('compression', 'level')",2.132978025294509
True,0,95,"('cores',)",3.5152226909410005
True,0,95,"('wind_size_unl',)",1.8522045210156064
True,0,95,"('cores', 'encrypt')",2.6082694271876967
True,0,95,"('encrypt', 'level')",2.884855638770378
True,0,95,"('cores', 'threshold')",2.8389314361982283
True,0,95,"('encrypt',)",1.7116784491472208
True,0,95,"('threshold',)",1.8106986307161703
True,0,100,"('ram',)",2.2319241758172814
True,0,100,"('level',)",3.9615731607415854
True,0,100,"('cores', 'ram')",2.793659535788442
True,0,100,"('cores', 'level')",2.42575364230044
True,0,100,"('cores', 'wind_size_unl')",2.739279067782112
True,0,100,"('level', 'ram')",3.2118909000351072
True,0,100,"('encrypt', 'ram')",2.449298103161915
True,0,100,"('ram', 'wind_size_unl')",3.0575776810987287
True,0,100,"('ram', 'threshold')",2.927189744273765
True,0,100,"('level', 'wind_size_unl')",3.212051236480973
True,0,100,"('compression', 'level')",2.0917443453632245
True,0,100,"('cores',)",3.5555448947811983
True,0,100,"('encrypt',)",1.6780525055482305
True,0,100,"('wind_size_unl',)",1.831663392307276
True,0,100,"('threshold',)",1.826924056373018
True,1,15,"('ram',)",2.973494601545717
True,1,15,"('cores', 'ram')",1.947978554392909
True,1,15,"('cores', 'level')",2.862419863107937
True,1,15,"('level', 'ram')",1.7345299107906855
True,1,15,"('compression', 'ram')",9.158076776126608
True,1,15,"('compression', 'level')",7.654793646401521
True,1,20,"('ram',)",3.286190982244056
True,1,20,"('cores', 'ram')",2.733735013719832
True,1,20,"('cores', 'level')",3.1758452501988588
True,1,20,"('level', 'ram')",1.6578186223139526
True,1,20,"('compression', 'ram')",7.061718708320293
True,1,20,"('compression', 'level')",6.427496856494427
True,1,20,"('ram', 'wind_size_unl')",3.531146018149004
True,1,25,"('level', 'ram')",1.9061285268535184
True,1,25,"('compression', 'level')",6.934531814920873
True,1,25,"('cores', 'ram')",2.0614169507100515
True,1,25,"('cores', 'level')",2.590620418720683
True,1,25,"('compression', 'ram')",7.466075481293617
True,1,25,"('level',)",4.286178037068129
True,1,25,"('encrypt', 'level')",4.246871639123117
True,1,25,"('level', 'wind_size_unl')",2.6504054906417966
True,1,25,"('level', 'threshold')",2.517198092401616
True,1,30,"('level', 'ram')",2.06940762390238
True,1,30,"('compression', 'ram')",6.414054023576903
True,1,30,"('compression', 'level')",6.633236766728804
True,1,30,"('cores', 'ram')",1.929250033602249
True,1,30,"('cores', 'level')",2.327738958426185
True,1,30,"('encrypt', 'level')",4.071630629847916
True,1,30,"('encrypt', 'ram')",2.4057033544961444
True,1,30,"('ram',)",2.8771363813834068
True,1,30,"('level',)",4.8156052529273135
True,1,30,"('ram', 'wind_size_unl')",2.203583281692778
True,1,30,"('ram', 'threshold')",2.2340334370684056
True,1,30,"('level', 'threshold')",2.5112430377187005
True,1,30,"('cores',)",3.6713360098518817
True,1,30,"('wind_size_unl',)",1.780371261467688
True,1,30,"('threshold',)",2.210842053503148
True,1,35,"('cores', 'ram')",2.009331811569725
True,1,35,"('compression', 'cores')",3.0616218464652096
True,1,35,"('level', 'ram')",1.964032408431562
True,1,35,"('ram', 'threshold')",1.9191755606006964
True,1,35,"('compression', 'ram')",3.071772866444591
True,1,35,"('level', 'threshold')",2.348954428262477
True,1,35,"('compression', 'level')",3.661032854564873
True,1,35,"('level',)",4.8637656777583125
True,1,35,"('cores', 'level')",2.360983767335755
True,1,35,"('encrypt', 'level')",3.5169881119230286
True,1,35,"('level', 'wind_size_unl')",2.4228031654195044
True,1,35,"('encrypt', 'ram')",2.0553827800040274
True,1,35,"('ram',)",2.588867157233063
True,1,35,"('ram', 'wind_size_unl')",1.9812521823875904
True,1,35,"('cores',)",4.190947072299336
True,1,40,"('level',)",4.718770489919864
True,1,40,"('cores', 'ram')",2.305045753067144
True,1,40,"('cores', 'level')",2.007664376474705
True,1,40,"('level', 'ram')",1.9482066960698603
True,1,40,"('encrypt', 'ram')",2.218721962914451
True,1,40,"('ram', 'wind_size_unl')",1.949763132030456
True,1,40,"('compression', 'ram')",2.947842248855356
True,1,40,"('encrypt', 'level')",2.793237405004325
True,1,40,"('level', 'wind_size_unl')",2.075063310933856
True,1,40,"('compression', 'level')",3.4616628643102607
True,1,40,"('ram',)",2.104483097866672
True,1,40,"('cores',)",3.969525446846584
True,1,40,"('encrypt',)",2.034199592910099
True,1,40,"('threshold',)",1.887639822296182
True,1,45,"('cores', 'ram')",1.9120423735851804
True,1,45,"('level',)",4.1155411489304825
True,1,45,"('cores', 'level')",2.071500406670794
True,1,45,"('cores', 'wind_size_unl')",2.248197579240005
True,1,45,"('cores', 'threshold')",2.1906427971848497
True,1,45,"('compression', 'cores')",3.2899129329665926
True,1,45,"('level', 'ram')",1.9831932278842777
True,1,45,"('encrypt', 'ram')",2.463353326117008
True,1,45,"('ram', 'wind_size_unl')",2.0503850227906337
True,1,45,"('ram', 'threshold')",2.033072914524463
True,1,45,"('compression', 'ram')",3.086984256151131
True,1,45,"('encrypt', 'level')",2.7815866923433115
True,1,45,"('level', 'wind_size_unl')",2.1723673028527752
True,1,45,"('compression', 'level')",3.778275635903922
True,1,45,"('ram',)",2.04335092191604
True,1,45,"('cores',)",3.817881005444972
True,1,45,"('encrypt',)",1.974347814557098
True,1,45,"('threshold',)",1.880122786909575
True,1,50,"('cores', 'ram')",2.025126111864343
True,1,50,"('compression', 'cores')",3.2691988661960414
True,1,50,"('level', 'ram')",2.0701366047729417
True,1,50,"('ram', 'threshold')",2.127445214462357
True,1,50,"('compression', 'ram')",3.267714468321811
True,1,50,"('compression', 'level')",4.027420910026135
True,1,50,"('ram',)",2.0950858325818804
True,1,50,"('level',)",3.991705299771234
True,1,50,"('cores', 'threshold')",2.29504416167196
True,1,50,"('encrypt', 'ram')",2.5060904810959443
True,1,50,"('ram', 'wind_size_unl')",2.213981383372165
True,1,50,"('encrypt', 'level')",2.946975042078154
True,1,50,"('level', 'wind_size_unl')",2.458966817417986
True,1,50,"('encrypt', 'wind_size_unl')",3.6150158810439454
True,1,50,"('compression', 'wind_size_unl')",4.050996135538614
True,1,50,"('cores', 'level')",2.11588178885632
True,1,50,"('cores',)",3.8085281560559343
True,1,50,"('encrypt',)",2.055881615939489
True,1,50,"('wind_size_unl',)",1.634997185217749
True,1,50,"('threshold',)",2.050927899612225
True,1,55,"('level',)",3.9728088565367767
True,1,55,"('cores', 'ram')",2.1259354044800927
True,1,55,"('cores', 'wind_size_unl')",2.4113327078797364
True,1,55,"('cores', 'threshold')",2.300456080365477
True,1,55,"('compression', 'cores')",3.4363165299992016
True,1,55,"('level', 'ram')",2.3760002367019286
True,1,55,"('encrypt', 'ram')",2.5290333991776417
True,1,55,"('ram', 'wind_size_unl')",2.354451119048812
True,1,55,"('ram', 'threshold')",2.2855285219301265
True,1,55,"('compression', 'ram')",3.601885208110709
True,1,55,"('encrypt', 'level')",2.903107123391677
True,1,55,"('level', 'wind_size_unl')",2.6465434145999938
