is_active,model_name,repetition,iteration,function_name,feature,influence,min_influence,max_influence,mape
True,p4,0,15,weighted_p4_influences_by_functions_system_results,"('cores', 'ram')",149.5211063609949,-8.529179691019486,307.57139241300933,
True,p4,0,15,weighted_p4_influences_by_functions_system_results,"('cores', 'level')",-15701.867237268403,-19804.63256157052,-11599.101912966293,
True,p4,0,15,weighted_p4_influences_by_functions_system_results,"('level', 'ram')",108.51394024242576,65.40797594607102,151.61990453878047,
True,p4,0,15,weighted_p4_influences_by_functions_system_results,"('level', 'wind_size_unl')",-917.151891228432,-1033.9187592588485,-800.3850231980157,
True,p4,0,15,weighted_p4_influences_by_functions_system_results,"('level', 'threshold')",1390.2343930509116,1115.4884608609088,1664.9803252409145,
True,p4,0,15,average_p4_influences_system_results,"('cores', 'ram')",0.0189817361533641,-0.0010827811700957,0.039046253476824,
True,p4,0,15,average_p4_influences_system_results,"('cores', 'level')",-0.0122013092041015,-0.0301009955860319,0.0056983771778288,
True,p4,0,15,average_p4_influences_system_results,"('level', 'ram')",0.0137758677204449,0.0083035564138775,0.0192481790270124,
True,p4,0,15,average_p4_influences_system_results,"('level', 'wind_size_unl')",-0.1164326270421346,-0.131256205695016,-0.1016090483892531,
True,p4,0,15,average_p4_influences_system_results,"('level', 'threshold')",0.1764905509494599,0.1416114966074625,0.2113696052914574,
True,p4,0,15,weighted_p4_influences_by_vif_system_results,"('cores', 'ram')",149.5211063609949,-8.529179691019486,307.57139241300933,
True,p4,0,15,weighted_p4_influences_by_vif_system_results,"('cores', 'level')",-15701.867237268403,-19804.63256157052,-11599.101912966293,
True,p4,0,15,weighted_p4_influences_by_vif_system_results,"('level', 'ram')",108.51394024242576,65.40797594607102,151.61990453878047,
True,p4,0,15,weighted_p4_influences_by_vif_system_results,"('level', 'wind_size_unl')",-917.151891228432,-1033.9187592588485,-800.3850231980157,
True,p4,0,15,weighted_p4_influences_by_vif_system_results,"('level', 'threshold')",1390.2343930509116,1115.4884608609088,1664.9803252409145,
True,p4,0,20,weighted_p4_influences_by_functions_system_results,"('level', 'ram')",3164.6350955145563,2580.068750864355,3749.201440164758,
True,p4,0,20,weighted_p4_influences_by_functions_system_results,"('compression', 'ram')",-22131.27407421662,-24769.53345816257,-19493.014690270666,
True,p4,0,20,weighted_p4_influences_by_functions_system_results,"('cores', 'level')",-19118.17931949857,-20246.693899943835,-17989.664739053303,
True,p4,0,20,weighted_p4_influences_by_functions_system_results,"('ram',)",33264.561970492534,32047.26655291892,34481.85738806616,
True,p4,0,20,weighted_p4_influences_by_functions_system_results,"('level',)",45433.36256643433,43985.3042408121,46881.42089205656,
True,p4,0,20,average_p4_influences_system_results,"('level', 'ram')",0.0225278961339167,0.0180516780487128,0.0270041142191205,
True,p4,0,20,average_p4_influences_system_results,"('compression', 'ram')",-0.1180670066248803,-0.1337327474639529,-0.1024012657858076,
