is_active,repetition,iteration,feature,first_option_value,second_option_value,taskID,cores,ram,level,encrypt,wind_size_unl,threshold,compression
True,0,10,,,,17,2,2,7,0,1,1,0
True,0,10,,,,36,1,2,1,0,1,1,0
True,0,10,,,,75,1,2,7,0,1,1,0
True,0,10,,,,79,3,18,3,0,0,1,1
True,0,10,,,,102,4,18,1,1,0,0,0
True,0,10,,,,105,1,18,4,0,1,0,0
True,0,10,,,,130,4,18,7,0,0,1,2
True,0,10,,,,160,3,18,2,0,0,0,1
True,0,10,,,,183,1,18,7,1,0,1,2
True,0,10,,,,189,2,18,1,1,0,1,0
True,0,15,"('ram', 'wind_size_unl')",18.0,1.0,122,3,18,6,0,1,0,0
True,0,15,"('compression', 'ram')",2.0,18.0,146,1,18,5,1,0,1,2
True,0,15,"('level', 'wind_size_unl')",4.0,1.0,147,1,2,4,0,1,0,1
True,0,15,"('level', 'threshold')",4.0,0.0,162,4,18,4,1,1,0,2
True,0,15,"('encrypt', 'ram')",1.0,18.0,179,1,18,6,1,0,1,1
True,0,20,"('cores',)",2.0,,62,2,2,8,0,1,0,0
True,0,20,"('encrypt', 'ram')",0.0,2.0,84,3,2,2,0,0,0,0
True,0,20,"('compression', 'ram')",1.0,2.0,96,4,2,8,0,0,0,1
True,0,20,"('ram', 'threshold')",2.0,0.0,166,4,2,5,1,0,0,2
True,0,20,"('level',)",5.0,,196,2,18,5,0,1,0,2
True,0,25,"('ram',)",2.0,,34,2,2,3,0,0,1,0
True,0,25,"('cores', 'level')",2.0,8.0,41,2,18,8,0,0,1,0
True,0,25,"('threshold',)",1.0,,110,1,2,9,0,1,1,2
True,0,25,"('cores',)",2.0,,165,2,2,4,0,1,1,0
True,0,25,"('level',)",3.0,,175,1,2,3,0,1,1,0
True,0,30,"('wind_size_unl',)",1.0,,24,3,18,9,1,1,1,0
True,0,30,"('threshold',)",0.0,,45,2,18,6,0,0,0,0
True,0,30,"('compression', 'level')",0.0,6.0,174,2,18,6,0,1,1,0
True,0,30,"('level',)",9.0,,186,1,18,9,1,0,1,0
True,0,30,"('cores',)",3.0,,191,3,2,8,0,1,0,1
True,0,35,"('cores',)",4.0,,72,4,2,5,1,1,0,0
True,0,35,"('level',)",2.0,,116,3,2,2,1,1,1,0
True,0,35,"('compression', 'level')",0.0,2.0,125,3,2,2,1,0,0,0
True,0,35,"('compression', 'ram')",2.0,2.0,136,1,2,2,1,0,1,2
True,0,35,"('encrypt', 'ram')",1.0,2.0,194,1,2,3,1,1,1,0
True,0,40,"('level', 'wind_size_unl')",2.0,1.0,29,2,2,2,0,1,0,0
True,0,40,"('cores',)",4.0,,113,4,2,9,0,1,0,0
True,0,40,"('cores',)",4.0,,129,4,18,6,1,1,0,1
True,0,40,"('level',)",1.0,,131,4,2,1,1,0,1,0
True,0,40,"('cores', 'ram')",4.0,18.0,187,4,18,8,0,0,0,0
True,0,45,"('ram',)",18.0,,89,2,18,9,1,0,0,0
True,0,45,"('level',)",5.0,,99,4,18,5,0,1,0,2
True,0,45,"('level',)",5.0,,100,1,18,5,0,0,1,2
True,0,45,"('cores',)",3.0,,119,3,18,7,0,1,0,2
True,0,45,"('level',)",5.0,,137,2,2,5,1,0,1,0
True,0,50,"('cores',)",3.0,,50,3,18,9,0,1,1,2
True,0,50,"('level',)",9.0,,57,4,2,9,1,0,1,1
True,0,50,"('cores', 'encrypt')",3.0,1.0,80,3,18,4,1,1,1,0
True,0,50,"('level',)",8.0,,85,4,2,8,0,0,0,0
True,0,50,"('level',)",3.0,,138,2,18,3,0,0,0,1
True,0,55,"('level', 'threshold')",4.0,0.0,49,4,18,4,0,1,0,2
True,0,55,"('level',)",1.0,,56,4,18,1,0,0,0,0
True,0,55,"('level', 'threshold')",8.0,1.0,64,1,2,8,1,0,1,0
True,0,55,"('level',)",9.0,,139,1,18,9,1,0,0,0
True,0,55,"('level', 'threshold')",8.0,1.0,150,1,18,8,0,1,1,0
True,0,60,"('level', 'threshold')",7.0,1.0,18,4,18,7,1,1,1,1
True,0,60,"('level', 'threshold')",5.0,1.0,37,1,2,5,0,1,1,0
True,0,60,"('level', 'threshold')",7.0,1.0,38,1,2,7,1,1,1,1
True,0,60,"('level', 'threshold')",7.0,1.0,63,2,18,7,0,1,1,2
True,0,60,"('level', 'threshold')",7.0,0.0,135,1,18,7,0,1,0,2
True,1,10,,,,12,1,2,4,1,0,0,2
True,1,10,,,,17,2,2,7,0,1,1,0
True,1,10,,,,22,3,2,3,0,1,0,0
True,1,10,,,,30,4,18,7,1,1,0,0
True,1,10,,,,62,2,2,8,0,1,0,0
True,1,10,,,,102,4,18,1,1,0,0,0
True,1,10,,,,115,2,18,9,0,0,0,0
True,1,10,,,,119,3,18,7,0,1,0,2
True,1,10,,,,126,2,2,4,1,1,0,2
True,1,10,,,,165,2,2,4,0,1,1,0
True,1,15,"('level', 'ram')",9.0,18.0,13,1,18,9,0,1,1,2
True,1,15,"('level',)",9.0,,26,1,18,9,0,1,1,2
True,1,15,"('level',)",9.0,,145,1,18,9,0,1,0,1
True,1,15,"('ram',)",18.0,,150,1,18,8,0,1,1,0
True,1,15,"('cores', 'ram')",3.0,2.0,191,3,2,8,0,1,0,1
True,1,20,"('level', 'threshold')",8.0,1.0,31,3,2,8,0,0,1,1
True,1,20,"('ram', 'threshold')",2.0,1.0,37,1,2,5,0,1,1,0
