is_active,repetition,iteration,feature,first_option_value,second_option_value,taskID,cores,ram,level,encrypt,wind_size_unl,threshold,compression
True,0,10,,,,10,2,18,7,0,1,0,0
True,0,10,,,,22,3,2,3,0,1,0,0
True,0,10,,,,37,1,2,5,0,1,1,0
True,0,10,,,,48,1,2,1,0,1,1,0
True,0,10,,,,68,2,6,6,0,1,0,0
True,0,10,,,,88,1,2,6,0,1,1,0
True,0,10,,,,104,4,2,5,1,0,1,0
True,0,10,,,,118,4,2,9,0,1,0,1
True,0,10,,,,173,3,2,1,0,1,1,0
True,0,10,,,,193,1,6,6,1,0,1,0
True,0,15,"('ram', 'threshold')",18.0,0.0,81,4,18,6,0,0,0,0
True,0,15,"('level', 'threshold')",9.0,0.0,95,1,2,9,1,0,0,0
True,0,15,"('compression', 'level')",1.0,9.0,157,1,2,9,0,0,0,1
True,0,15,"('cores', 'threshold')",4.0,1.0,169,4,6,6,1,0,1,0
True,0,15,"('cores', 'wind_size_unl')",4.0,1.0,171,4,2,5,1,1,1,1
True,0,20,"('ram', 'threshold')",6.0,0.0,7,2,6,5,0,1,0,0
True,0,20,"('cores', 'threshold')",3.0,1.0,74,3,18,4,1,0,1,0
True,0,20,"('cores', 'encrypt')",4.0,0.0,92,4,6,2,0,1,0,0
True,0,20,"('level', 'threshold')",7.0,0.0,141,3,6,7,0,1,0,0
True,0,20,"('level',)",3.0,,175,1,2,3,0,1,1,0
True,0,25,"('cores', 'wind_size_unl')",3.0,0.0,31,3,2,8,0,0,1,1
True,0,25,"('encrypt', 'level')",1.0,9.0,89,2,18,9,1,0,0,0
True,0,25,"('cores', 'threshold')",3.0,1.0,134,3,2,4,1,1,1,2
True,0,25,"('cores', 'encrypt')",3.0,1.0,149,3,2,4,1,0,0,0
True,0,25,"('level',)",2.0,,195,3,6,2,0,1,1,0
True,0,30,"('ram',)",18.0,,15,2,18,1,0,1,1,0
True,0,30,"('cores', 'threshold')",1.0,0.0,73,1,18,1,0,0,0,1
True,0,30,"('compression', 'encrypt')",2.0,1.0,166,4,2,5,1,0,0,2
True,0,30,"('cores', 'encrypt')",2.0,1.0,189,2,18,1,1,0,1,0
True,0,30,"('encrypt', 'level')",0.0,8.0,191,3,2,8,0,1,0,1
True,0,35,"('ram',)",6.0,,11,4,6,4,0,1,0,0
True,0,35,"('compression', 'encrypt')",1.0,1.0,57,4,2,9,1,0,1,1
True,0,35,"('cores', 'threshold')",2.0,1.0,71,2,6,5,0,0,1,0
True,0,35,"('compression', 'cores')",2.0,4.0,162,4,18,4,1,1,0,2
True,0,35,"('cores', 'encrypt')",2.0,1.0,177,2,18,4,1,1,0,0
True,0,40,"('level', 'threshold')",9.0,1.0,26,1,18,9,0,1,1,2
True,0,40,"('compression', 'cores')",2.0,3.0,39,3,2,7,1,0,0,2
True,0,40,"('compression', 'level')",2.0,5.0,78,2,18,5,1,1,0,2
True,0,40,"('cores', 'threshold')",2.0,1.0,87,2,6,3,0,0,1,0
True,0,40,"('cores', 'encrypt')",1.0,1.0,127,1,2,7,1,1,0,0
True,0,45,"('cores', 'ram')",3.0,18.0,24,3,18,9,1,1,1,0
True,0,45,"('cores', 'ram')",3.0,18.0,91,3,18,4,1,0,1,0
True,0,45,"('cores', 'level')",2.0,9.0,124,2,6,9,0,0,1,0
True,0,45,"('cores', 'level')",1.0,2.0,151,1,18,2,1,1,1,1
True,0,45,"('cores', 'ram')",3.0,18.0,160,3,18,2,0,0,0,1
True,0,50,"('cores', 'ram')",1.0,6.0,23,1,6,6,0,0,1,0
True,0,50,"('cores', 'level')",1.0,3.0,83,1,6,3,1,0,0,0
True,0,50,"('cores', 'level')",3.0,1.0,108,3,6,1,0,1,1,0
