is_active,repetition,iteration,feature,first_option_value,second_option_value,taskID,cores,ram,level,encrypt,wind_size_unl,threshold,compression
False,0,10,,,,10,2,18,7,0,1,0,0
False,0,10,,,,22,3,2,3,0,1,0,0
False,0,10,,,,37,1,2,5,0,1,1,0
False,0,10,,,,48,1,2,1,0,1,1,0
False,0,10,,,,68,2,6,6,0,1,0,0
False,0,10,,,,88,1,2,6,0,1,1,0
False,0,10,,,,104,4,2,5,1,0,1,0
False,0,10,,,,118,4,2,9,0,1,0,1
False,0,10,,,,173,3,2,1,0,1,1,0
False,0,10,,,,193,1,6,6,1,0,1,0
False,0,15,,,,4,3,6,5,0,0,0,2
False,0,15,,,,26,1,18,9,0,1,1,2
False,0,15,,,,87,2,6,3,0,0,1,0
False,0,15,,,,113,4,2,9,0,1,0,0
False,0,15,,,,148,1,6,1,1,0,1,0
False,0,20,,,,7,2,6,5,0,1,0,0
False,0,20,,,,31,3,2,8,0,0,1,1
False,0,20,,,,92,4,6,2,0,1,0,0
False,0,20,,,,111,4,6,5,0,0,0,0
False,0,20,,,,151,1,18,2,1,1,1,1
False,0,25,,,,71,2,6,5,0,0,1,0
False,0,25,,,,76,4,6,3,1,0,1,0
False,0,25,,,,112,3,6,5,1,0,1,0
False,0,25,,,,128,4,2,1,0,0,0,0
False,0,25,,,,191,3,2,8,0,1,0,1
False,0,30,,,,53,3,6,5,0,0,1,0
False,0,30,,,,74,3,18,4,1,0,1,0
False,0,30,,,,141,3,6,7,0,1,0,0
False,0,30,,,,157,1,2,9,0,0,0,1
False,0,30,,,,199,2,2,6,1,1,0,0
False,0,35,,,,57,4,2,9,1,0,1,1
False,0,35,,,,73,1,18,1,0,0,0,1
False,0,35,,,,78,2,18,5,1,1,0,2
False,0,35,,,,83,1,6,3,1,0,0,0
False,0,35,,,,136,1,2,2,1,0,1,2
False,0,40,,,,89,2,18,9,1,0,0,0
False,0,40,,,,107,1,6,1,1,1,0,0
False,0,40,,,,134,3,2,4,1,1,1,2
False,0,40,,,,142,4,2,3,1,0,0,0
False,0,40,,,,187,4,18,8,0,0,0,0
False,0,45,,,,28,3,6,1,1,0,0,0
False,0,45,,,,82,1,6,4,1,1,0,0
False,0,45,,,,85,4,2,8,0,0,0,0
False,0,45,,,,123,2,2,5,1,0,1,0
False,0,45,,,,195,3,6,2,0,1,1,0
False,0,50,,,,32,3,2,5,1,0,1,0
False,0,50,,,,91,3,18,4,1,0,1,0
False,0,50,,,,126,2,2,4,1,1,0,2
False,0,50,,,,156,1,2,5,1,1,1,0
False,0,50,,,,169,4,6,6,1,0,1,0
False,0,55,,,,11,4,6,4,0,1,0,0
False,0,55,,,,24,3,18,9,1,1,1,0
False,0,55,,,,34,2,2,3,0,0,1,0
False,0,55,,,,108,3,6,1,0,1,1,0
False,0,55,,,,171,4,2,5,1,1,1,1
False,0,60,,,,15,2,18,1,0,1,1,0
False,0,60,,,,38,1,2,7,1,1,1,1
False,0,60,,,,127,1,2,7,1,1,0,0
False,0,60,,,,137,2,2,5,1,0,1,0
False,0,60,,,,172,1,6,6,1,0,1,0
False,0,65,,,,16,1,6,2,0,1,1,0
False,0,65,,,,40,3,6,5,0,1,0,0
False,0,65,,,,94,1,18,8,0,1,0,0
False,0,65,,,,98,2,2,6,0,0,1,1
False,0,65,,,,129,4,18,6,1,1,0,1
False,0,70,,,,81,4,18,6,0,0,0,0
False,0,70,,,,124,2,6,9,0,0,1,0
False,0,70,,,,149,3,2,4,1,0,0,0
False,0,70,,,,174,2,18,6,0,1,1,0
False,0,70,,,,175,1,2,3,0,1,1,0
False,0,75,,,,13,1,18,9,0,1,1,2
False,0,75,,,,43,4,18,6,0,0,1,0
False,0,75,,,,58,1,6,4,1,0,0,2
False,0,75,,,,177,2,18,4,1,1,0,0
False,0,75,,,,184,3,6,6,1,1,1,0
False,0,80,,,,14,2,2,7,0,1,1,0
False,0,80,,,,23,1,6,6,0,0,1,0
False,0,80,,,,62,2,2,8,0,1,0,0
False,0,80,,,,130,4,18,7,0,0,1,2
False,0,80,,,,162,4,18,4,1,1,0,2
False,0,85,,,,2,1,2,4,0,1,0,1
False,0,85,,,,52,2,6,8,0,0,1,2
False,0,85,,,,84,3,2,2,0,0,0,0
False,0,85,,,,182,2,2,4,0,1,0,1
False,0,85,,,,189,2,18,1,1,0,1,0
False,0,90,,,,17,2,2,7,0,1,1,0
False,0,90,,,,46,2,6,3,1,0,0,1
False,0,90,,,,95,1,2,9,1,0,0,0
False,0,90,,,,110,1,2,9,0,1,1,2
False,0,90,,,,176,1,6,6,1,0,0,0
False,0,95,,,,19,1,6,9,0,0,0,0
False,0,95,,,,35,1,6,5,1,1,0,0
False,0,95,,,,42,4,6,2,0,1,0,2
False,0,95,,,,166,4,2,5,1,0,0,2
False,0,95,,,,167,4,6,4,1,0,0,0
False,0,100,,,,1,2,6,7,1,1,1,0
False,0,100,,,,39,3,2,7,1,0,0,2
False,0,100,,,,63,2,18,7,0,1,1,2
False,0,100,,,,155,4,6,7,0,0,1,0
False,0,100,,,,160,3,18,2,0,0,0,1
False,1,10,,,,38,1,2,7,1,1,1,1
False,1,10,,,,72,4,2,5,1,1,0,0
False,1,10,,,,73,1,18,1,0,0,0,1
False,1,10,,,,80,3,18,4,1,1,1,0
False,1,10,,,,130,4,18,7,0,0,1,2
False,1,10,,,,134,3,2,4,1,1,1,2
False,1,10,,,,138,2,18,3,0,0,0,1
False,1,10,,,,141,3,6,7,0,1,0,0
False,1,10,,,,145,1,18,9,0,1,0,1
False,1,10,,,,193,1,6,6,1,0,1,0
False,1,15,,,,92,4,6,2,0,1,0,0
False,1,15,,,,131,4,2,1,1,0,1,0
False,1,15,,,,135,1,18,7,0,1,0,2
False,1,15,,,,170,3,6,1,0,1,0,0
False,1,15,,,,196,2,18,5,0,1,0,2
False,1,20,,,,62,2,2,8,0,1,0,0
False,1,20,,,,78,2,18,5,1,1,0,2
False,1,20,,,,82,1,6,4,1,1,0,0
False,1,20,,,,85,4,2,8,0,0,0,0
False,1,20,,,,97,2,6,7,0,0,1,0
False,1,25,,,,63,2,18,7,0,1,1,2
False,1,25,,,,67,1,6,3,0,1,0,2
False,1,25,,,,120,2,6,4,0,0,1,0
False,1,25,,,,156,1,2,5,1,1,1,0
False,1,25,,,,167,4,6,4,1,0,0,0
False,1,30,,,,25,3,6,9,0,0,0,1
False,1,30,,,,43,4,18,6,0,0,1,0
False,1,30,,,,148,1,6,1,1,0,1,0
False,1,30,,,,149,3,2,4,1,0,0,0
False,1,30,,,,189,2,18,1,1,0,1,0
False,1,35,,,,65,2,6,6,0,1,0,0
