is_active,repetition,iteration,feature,first_option_value,second_option_value,taskID,threads,ref,rc_lookahead,no_8x8dct,no_cabac,no_deblock,no_mbtree,no_fast_pskip,no_mixed_refs
True,0,10,,,,560,8,2,10,0,0,1,1,0,1
True,0,10,,,,685,8,16,10,1,0,1,1,1,1
True,0,10,,,,764,4,4,0,1,1,0,0,1,1
True,0,10,,,,836,2,16,0,0,1,1,0,0,0
True,0,10,,,,1034,4,1,160,1,1,0,1,1,1
True,0,10,,,,1217,2,4,160,0,0,1,0,1,0
True,0,10,,,,1384,1,4,10,1,1,0,1,0,0
True,0,10,,,,1654,1,16,160,0,0,0,1,1,1
True,0,10,,,,1732,2,8,0,0,0,0,0,1,0
True,0,10,,,,1748,8,2,160,1,1,0,0,0,1
True,0,15,"('no_mbtree', 'rc_lookahead')",1.0,160.0,431,4,4,160,1,1,1,1,1,0
True,0,15,"('no_cabac', 'ref')",1.0,16.0,1100,8,16,40,0,1,1,0,0,1
True,0,15,"('no_fast_pskip', 'rc_lookahead')",1.0,10.0,1474,4,2,10,1,1,0,1,1,0
True,0,15,"('ref',)",8.0,,1947,4,8,0,0,0,1,0,1,1
True,0,15,"('ref', 'threads')",16.0,8.0,1966,8,16,160,1,1,1,0,1,0
True,0,20,"('no_deblock', 'rc_lookahead')",1.0,40.0,661,2,2,40,0,1,1,0,1,1
True,0,20,"('no_mbtree', 'rc_lookahead')",0.0,40.0,759,4,2,40,0,0,0,0,0,1
True,0,20,"('no_mixed_refs', 'rc_lookahead')",1.0,40.0,1207,1,4,40,1,0,0,1,1,1
True,0,20,"('no_fast_pskip', 'rc_lookahead')",0.0,160.0,1296,4,1,160,1,1,1,0,0,0
True,0,20,"('ref', 'threads')",16.0,2.0,1649,2,16,0,0,0,0,1,1,1
True,0,25,"('rc_lookahead',)",40.0,,399,2,1,40,0,0,1,0,0,1
True,0,25,"('ref', 'threads')",16.0,1.0,850,1,16,0,1,1,0,1,1,0
True,0,25,"('ref',)",8.0,,854,8,8,0,0,0,0,0,0,0
True,0,25,"('no_fast_pskip', 'ref')",1.0,1.0,1177,8,1,160,1,0,1,0,1,1
True,0,25,"('no_mbtree', 'ref')",1.0,1.0,1352,2,1,10,1,1,1,1,0,1
True,0,30,"('ref',)",8.0,,100,1,8,10,0,1,0,1,1,1
