is_active,repetition,iteration,feature,first_option_value,second_option_value,taskID,threads,ref,rc_lookahead,no_8x8dct,no_cabac,no_deblock,no_mbtree,no_fast_pskip,no_mixed_refs
True,0,10,,,,560,8,2,10,0,0,1,1,0,1
True,0,10,,,,685,8,16,10,1,0,1,1,1,1
True,0,10,,,,764,4,4,0,1,1,0,0,1,1
True,0,10,,,,836,2,16,0,0,1,1,0,0,0
True,0,10,,,,1034,4,1,160,1,1,0,1,1,1
True,0,10,,,,1217,2,4,160,0,0,1,0,1,0
True,0,10,,,,1384,1,4,10,1,1,0,1,0,0
True,0,10,,,,1654,1,16,160,0,0,0,1,1,1
True,0,10,,,,1732,2,8,0,0,0,0,0,1,0
True,0,10,,,,1748,8,2,160,1,1,0,0,0,1
True,0,15,,,,152,2,16,160,1,1,1,0,0,1
True,0,15,,,,175,1,2,160,1,0,0,0,1,0
True,0,15,,,,538,8,8,160,0,0,0,0,0,1
True,0,15,,,,1391,1,2,160,1,0,1,0,1,1
True,0,15,,,,1789,1,2,160,0,1,1,1,0,0
True,0,20,,,,29,8,2,160,1,1,0,0,1,1
True,0,20,,,,278,4,8,160,1,1,0,1,1,1
True,0,20,,,,981,2,8,160,0,1,1,0,1,1
True,0,20,,,,1177,8,1,160,1,0,1,0,1,1
True,0,20,,,,1758,8,16,160,0,1,1,0,0,0
True,0,25,,,,245,2,4,10,1,0,1,0,0,1
True,0,25,,,,1149,4,8,10,1,0,0,0,0,1
True,0,25,,,,1207,1,4,40,1,0,0,1,1,1
True,0,25,,,,1520,8,2,0,1,1,0,1,0,0
True,0,25,,,,1947,4,8,0,0,0,1,0,1,1
True,0,30,,,,389,4,16,160,1,0,1,1,0,0
True,0,30,,,,801,1,8,0,1,1,0,0,0,0
True,0,30,,,,850,1,16,0,1,1,0,1,1,0
True,0,30,,,,1428,1,4,160,0,1,1,1,0,0
True,0,30,,,,1966,8,16,160,1,1,1,0,1,0
True,0,35,,,,58,4,8,0,1,1,1,1,1,1
True,0,35,,,,544,8,4,160,0,1,1,0,0,1
True,0,35,,,,840,2,1,0,1,1,0,1,0,1
True,0,35,,,,1649,2,16,0,0,0,0,1,1,1
True,0,35,,,,1882,4,4,0,1,1,1,1,1,0
True,0,40,,,,129,1,16,0,0,0,1,0,1,0
True,0,40,,,,315,4,1,160,0,0,1,1,0,0
