is_active,repetition,iteration,feature,vif
True,0,15,"('ref', 'threads')",13.689591388131138
True,0,15,"('rc_lookahead', 'threads')",6.203199466612986
True,0,15,"('rc_lookahead', 'ref')",9.037272410065151
True,0,15,"('no_mbtree', 'rc_lookahead')",7.94779092754218
True,0,15,"('no_fast_pskip', 'rc_lookahead')",2.928512713106864
True,0,15,"('no_deblock', 'rc_lookahead')",5.839739586349082
True,0,15,"('no_mixed_refs', 'rc_lookahead')",4.227959498444288
True,0,15,"('ref',)",3.200618270888609
True,0,15,"('no_cabac', 'ref')",3.5337495546447952
True,0,20,"('rc_lookahead', 'threads')",4.021437992989092
True,0,20,"('rc_lookahead', 'ref')",4.59771949579363
True,0,20,"('rc_lookahead',)",2.4310872052286427
True,0,20,"('no_8x8dct', 'rc_lookahead')",7.799896326572255
True,0,20,"('no_mbtree', 'rc_lookahead')",2.9331357211894264
True,0,20,"('no_deblock', 'ref')",2.7901173315128123
True,0,20,"('no_cabac', 'rc_lookahead')",2.743184798645106
True,0,20,"('no_mixed_refs', 'rc_lookahead')",3.170277169395128
True,0,20,"('no_deblock', 'rc_lookahead')",3.815560396394402
True,0,20,"('ref',)",2.475577308212013
True,0,20,"('ref', 'threads')",2.858345474669751
True,0,20,"('no_fast_pskip', 'rc_lookahead')",2.6102614230638204
True,0,25,"('rc_lookahead', 'threads')",5.053999796304202
True,0,25,"('rc_lookahead', 'ref')",6.078333803693071
True,0,25,"('no_8x8dct', 'rc_lookahead')",6.961742738970194
True,0,25,"('rc_lookahead',)",3.457418599975702
True,0,25,"('no_fast_pskip', 'rc_lookahead')",3.439931531067126
True,0,25,"('no_cabac', 'rc_lookahead')",3.198435150036804
True,0,25,"('no_deblock', 'rc_lookahead')",4.205110528349576
True,0,25,"('no_mixed_refs', 'rc_lookahead')",3.0364407456316624
True,0,30,"('rc_lookahead', 'threads')",4.527520356266218
True,0,30,"('rc_lookahead', 'ref')",5.459236201958862
True,0,30,"('rc_lookahead',)",2.8511791094874366
True,0,30,"('ref', 'threads')",2.791948283668347
True,0,30,"('no_8x8dct', 'rc_lookahead')",5.295317228094688
True,0,30,"('no_cabac', 'rc_lookahead')",2.76907568351492
True,0,30,"('no_mbtree', 'rc_lookahead')",3.896240188225384
True,0,30,"('no_fast_pskip', 'rc_lookahead')",2.7452477199836944
True,0,30,"('no_deblock', 'rc_lookahead')",3.8961091159899
True,0,30,"('no_mixed_refs', 'rc_lookahead')",2.560640783903475
True,0,30,"('ref',)",2.5002249551321523
True,0,30,"('no_cabac', 'ref')",2.7837373611120046
True,0,35,"('threads',)",3.007089680768328
True,0,35,"('ref',)",2.698056922381937
True,0,35,"('rc_lookahead',)",2.771235548629116
True,0,35,"('ref', 'threads')",2.467935672440649
True,0,35,"('rc_lookahead', 'threads')",4.59443814314079
True,0,35,"('no_mixed_refs', 'threads')",2.50399610748437
True,0,35,"('rc_lookahead', 'ref')",4.949580093213314
True,0,35,"('no_cabac', 'ref')",2.603999791671226
True,0,35,"('no_mbtree', 'ref')",2.89772457022106
True,0,35,"('no_fast_pskip', 'ref')",2.749924763484789
True,0,35,"('no_mixed_refs', 'ref')",2.5347778123985334
True,0,35,"('no_8x8dct', 'rc_lookahead')",4.758976629555478
True,0,35,"('no_cabac', 'rc_lookahead')",2.937420046857272
True,0,35,"('no_deblock', 'rc_lookahead')",3.952905511466305
True,0,35,"('no_fast_pskip', 'rc_lookahead')",2.913028416049085
True,0,35,"('no_mixed_refs', 'rc_lookahead')",3.30499916116386
True,0,35,"('no_mbtree', 'rc_lookahead')",3.835540861925004
True,0,35,"('no_deblock', 'ref')",2.917903018198846
True,0,40,"('ref',)",2.4393690879836583
True,0,40,"('rc_lookahead',)",2.331223114914784
True,0,40,"('ref', 'threads')",2.8697338069346228
True,0,40,"('rc_lookahead', 'threads')",4.253219225678095
True,0,40,"('rc_lookahead', 'ref')",5.000061499999706
True,0,40,"('no_cabac', 'ref')",2.96718612135422
True,0,40,"('no_fast_pskip', 'ref')",2.919426861915288
True,0,40,"('no_8x8dct', 'rc_lookahead')",4.700127553896274
True,0,40,"('no_cabac', 'rc_lookahead')",3.175420456575086
True,0,40,"('no_deblock', 'rc_lookahead')",3.3494294782282115
True,0,40,"('no_mbtree', 'rc_lookahead')",3.227919272600918
True,0,40,"('no_mixed_refs', 'rc_lookahead')",3.0341947629044737
True,0,40,"('no_fast_pskip', 'rc_lookahead')",3.080062233719277
True,0,40,"('no_mbtree', 'ref')",2.9459026598940614
True,0,45,"('ref',)",2.256538133535425
True,0,45,"('rc_lookahead',)",2.203300649003652
True,0,45,"('ref', 'threads')",3.0394333115693914
True,0,45,"('rc_lookahead', 'threads')",4.1702971093029
True,0,45,"('rc_lookahead', 'ref')",4.6963478969436006
True,0,45,"('no_fast_pskip', 'ref')",2.779225968013331
True,0,45,"('no_mixed_refs', 'ref')",2.91771436410094
True,0,45,"('no_8x8dct', 'rc_lookahead')",4.766056086114743
True,0,45,"('no_deblock', 'rc_lookahead')",3.103384070658454
True,0,45,"('no_mbtree', 'rc_lookahead')",3.165356238808218
True,0,45,"('no_fast_pskip', 'rc_lookahead')",2.848099319651993
True,0,45,"('no_mixed_refs', 'rc_lookahead')",2.9652919804577467
True,0,45,"('no_mbtree', 'threads')",3.152879475474024
True,0,45,"('no_deblock', 'ref')",2.966338070454692
True,0,45,"('no_cabac', 'rc_lookahead')",3.233789980948053
True,0,45,"('no_8x8dct', 'ref')",4.387039070305946
True,0,45,"('threads',)",3.1930368429482345
True,0,50,"('ref',)",2.3178906777940167
True,0,50,"('rc_lookahead',)",2.14318877422239
True,0,50,"('ref', 'threads')",2.839277496587169
True,0,50,"('rc_lookahead', 'threads')",3.194363693665736
True,0,50,"('rc_lookahead', 'ref')",3.6620558784057
True,0,50,"('no_fast_pskip', 'ref')",2.7811508804242444
True,0,50,"('no_mixed_refs', 'ref')",2.634778300546448
True,0,50,"('no_8x8dct', 'rc_lookahead')",4.735528614789598
True,0,50,"('no_cabac', 'rc_lookahead')",3.1536809770016805
True,0,50,"('no_deblock', 'rc_lookahead')",2.5578910022022976
True,0,50,"('no_mbtree', 'rc_lookahead')",3.186973127825388
True,0,50,"('no_fast_pskip', 'rc_lookahead')",2.901400375551136
True,0,50,"('no_mixed_refs', 'rc_lookahead')",2.6478127125411297
True,0,50,"('no_8x8dct', 'ref')",4.060558306894036
True,0,50,"('no_deblock', 'ref')",2.595211292886395
True,0,55,"('ref',)",2.362730087068907
True,0,55,"('rc_lookahead',)",2.253859554785926
True,0,55,"('ref', 'threads')",2.610967195253234
True,0,55,"('rc_lookahead', 'threads')",3.114653621951642
True,0,55,"('rc_lookahead', 'ref')",3.615012047960484
True,0,55,"('no_fast_pskip', 'ref')",2.575971534004887
True,0,55,"('no_mixed_refs', 'ref')",2.5316785255227785
True,0,55,"('no_8x8dct', 'rc_lookahead')",4.269204550275261
True,0,55,"('no_mbtree', 'rc_lookahead')",3.192302465596622
True,0,55,"('no_fast_pskip', 'rc_lookahead')",2.644563625066291
True,0,55,"('no_mixed_refs', 'rc_lookahead')",2.631701928389408
True,0,55,"('no_cabac', 'rc_lookahead')",2.972688413622236
True,0,55,"('threads',)",2.6662571849318595
True,0,55,"('no_mbtree', 'threads')",3.071526648987511
True,0,55,"('no_cabac', 'ref')",3.039931113838523
True,0,55,"('no_deblock', 'rc_lookahead')",2.645670987257315
True,0,55,"('no_deblock', 'ref')",2.498680555896
True,0,55,"('no_8x8dct', 'ref')",3.799438449062845
True,0,60,"('threads',)",2.7039723653350087
True,0,60,"('ref',)",2.274259774877259
True,0,60,"('rc_lookahead',)",2.3229119510246226
True,0,60,"('ref', 'threads')",2.541274214344571
True,0,60,"('rc_lookahead', 'threads')",3.2510624170628577
True,0,60,"('no_mbtree', 'threads')",3.0936077471176624
True,0,60,"('rc_lookahead', 'ref')",3.758116453346146
True,0,60,"('no_cabac', 'ref')",3.0079586511469696
True,0,60,"('no_fast_pskip', 'ref')",2.547665576172016
True,0,60,"('no_mixed_refs', 'ref')",2.5312210254993386
True,0,60,"('no_8x8dct', 'rc_lookahead')",4.091895681344364
True,0,60,"('no_cabac', 'rc_lookahead')",3.056150512992474
True,0,60,"('no_deblock', 'rc_lookahead')",2.70311888753367
True,0,60,"('no_mbtree', 'rc_lookahead')",3.1569791693051084
True,0,60,"('no_fast_pskip', 'rc_lookahead')",2.688839017122079
True,0,60,"('no_mixed_refs', 'rc_lookahead')",2.746224204012817
True,0,60,"('no_deblock', 'ref')",2.384782125284333
True,0,65,"('threads',)",2.470668908915868
True,0,65,"('ref',)",2.1808637669672364
True,0,65,"('rc_lookahead',)",2.097499141045318
True,0,65,"('ref', 'threads')",2.469160697468632
True,0,65,"('rc_lookahead', 'threads')",3.113486036245543
True,0,65,"('rc_lookahead', 'ref')",3.6686122597470914
True,0,65,"('no_fast_pskip', 'ref')",2.608954102712042
True,0,65,"('no_mixed_refs', 'ref')",2.593847962426029
True,0,65,"('no_8x8dct', 'rc_lookahead')",4.177374006331974
True,0,65,"('no_cabac', 'rc_lookahead')",3.0245226496499984
True,0,65,"('no_deblock', 'rc_lookahead')",2.728432134328075
True,0,65,"('no_mbtree', 'rc_lookahead')",3.3996548729283025
True,0,65,"('no_fast_pskip', 'rc_lookahead')",2.718041283486385
True,0,65,"('no_mixed_refs', 'rc_lookahead')",2.86207107951493
True,0,65,"('no_mbtree', 'threads')",3.084171323352685
True,0,65,"('no_8x8dct', 'ref')",3.764757558214383
True,0,65,"('no_mbtree', 'ref')",3.333265521247975
True,0,65,"('no_deblock', 'ref')",2.465951783583272
True,0,70,"('threads',)",2.5057205756311385
True,0,70,"('ref',)",2.04094043639948
True,0,70,"('rc_lookahead',)",2.037158783176312
True,0,70,"('ref', 'threads')",2.6541032750892883
True,0,70,"('rc_lookahead', 'threads')",3.3541150921297205
True,0,70,"('rc_lookahead', 'ref')",4.034644449495217
True,0,70,"('no_fast_pskip', 'ref')",2.6699037647145465
True,0,70,"('no_mixed_refs', 'ref')",2.724740890617115
True,0,70,"('no_8x8dct', 'rc_lookahead')",4.49078147090095
True,0,70,"('no_cabac', 'rc_lookahead')",3.3127361841543337
True,0,70,"('no_deblock', 'rc_lookahead')",2.868995977914507
True,0,70,"('no_mbtree', 'rc_lookahead')",3.4664244908268924
True,0,70,"('no_fast_pskip', 'rc_lookahead')",2.7714759197420125
True,0,70,"('no_mixed_refs', 'rc_lookahead')",3.00561220224206
True,0,70,"('no_cabac', 'ref')",3.273568562844754
True,0,70,"('no_mbtree', 'threads')",3.0696553737283523
True,0,70,"('no_mbtree', 'ref')",3.3689153308930737
True,0,70,"('no_8x8dct', 'ref')",3.9616669758893663
True,0,70,"('no_deblock', 'ref')",2.555509820214578
True,0,70,"('no_fast_pskip', 'threads')",2.7754562053392893
True,0,75,"('threads',)",2.4936097214132964
True,0,75,"('ref',)",2.0281515834135893
True,0,75,"('rc_lookahead',)",1.9775346512908416
True,0,75,"('ref', 'threads')",2.537514628463033
True,0,75,"('rc_lookahead', 'threads')",3.185512437214865
True,0,75,"('rc_lookahead', 'ref')",3.666307013357236
True,0,75,"('no_cabac', 'ref')",3.169997504904906
True,0,75,"('no_fast_pskip', 'ref')",2.6310340458048977
True,0,75,"('no_mixed_refs', 'ref')",2.617118818499345
True,0,75,"('no_8x8dct', 'rc_lookahead')",3.7270901832089898
True,0,75,"('no_cabac', 'rc_lookahead')",3.373558523599193
True,0,75,"('no_deblock', 'rc_lookahead')",2.908323123793054
True,0,75,"('no_mbtree', 'rc_lookahead')",3.3925631277936814
True,0,75,"('no_fast_pskip', 'rc_lookahead')",2.6387076160156275
True,0,75,"('no_mixed_refs', 'rc_lookahead')",2.924421804230394
True,0,75,"('no_8x8dct', 'threads')",3.177995719530402
True,0,75,"('no_fast_pskip', 'threads')",2.565651947327127
True,0,75,"('no_8x8dct', 'ref')",3.290719955921896
True,0,75,"('no_deblock', 'ref')",2.583663711803104
True,0,75,"('no_mbtree', 'threads')",3.044083883761049
True,0,80,"('threads',)",2.479711308861908
True,0,80,"('ref',)",2.032090412051257
True,0,80,"('rc_lookahead',)",2.0041668125950527
True,0,80,"('ref', 'threads')",2.545328219186583
True,0,80,"('rc_lookahead', 'threads')",3.0746057129937348
True,0,80,"('rc_lookahead', 'ref')",3.657716495046528
True,0,80,"('no_cabac', 'ref')",3.0387338275175018
True,0,80,"('no_fast_pskip', 'ref')",2.6543813027025576
True,0,80,"('no_mixed_refs', 'ref')",2.706920591992314
True,0,80,"('no_8x8dct', 'rc_lookahead')",3.496537740846173
True,0,80,"('no_cabac', 'rc_lookahead')",3.343235628150088
True,0,80,"('no_deblock', 'rc_lookahead')",2.97240211870404
True,0,80,"('no_fast_pskip', 'rc_lookahead')",2.55340303590444
True,0,80,"('no_mixed_refs', 'rc_lookahead')",2.851195237669123
True,0,80,"('no_mbtree', 'rc_lookahead')",3.4053125163676814
True,0,80,"('no_8x8dct', 'threads')",3.0790767626637865
True,0,80,"('no_fast_pskip', 'threads')",2.5727534741227296
True,0,80,"('no_8x8dct', 'ref')",3.096125392289029
