is_active,repetition,iteration,feature,first_option_value,second_option_value,taskID,threads,ref,rc_lookahead,no_8x8dct,no_cabac,no_deblock,no_mbtree,no_fast_pskip,no_mixed_refs
True,0,10,,,,560,8,2,10,0,0,1,1,0,1
True,0,10,,,,685,8,16,10,1,0,1,1,1,1
True,0,10,,,,764,4,4,0,1,1,0,0,1,1
True,0,10,,,,836,2,16,0,0,1,1,0,0,0
True,0,10,,,,1034,4,1,160,1,1,0,1,1,1
True,0,10,,,,1217,2,4,160,0,0,1,0,1,0
True,0,10,,,,1384,1,4,10,1,1,0,1,0,0
True,0,10,,,,1654,1,16,160,0,0,0,1,1,1
True,0,10,,,,1732,2,8,0,0,0,0,0,1,0
True,0,10,,,,1748,8,2,160,1,1,0,0,0,1
True,0,11,,,,175,1,2,160,1,0,0,0,1,0
True,0,12,,,,73,4,2,160,0,0,1,0,0,1
True,0,13,,,,1518,2,2,160,0,1,0,0,0,1
True,0,14,,,,278,4,8,160,1,1,0,1,1,1
True,0,15,,,,687,1,2,40,1,0,1,0,0,1
True,0,16,,,,1789,1,2,160,0,1,1,1,0,0
True,0,17,,,,538,8,8,160,0,0,0,0,0,1
True,0,18,,,,758,2,1,40,1,0,1,1,0,1
True,0,19,,,,1391,1,2,160,1,0,1,0,1,1
True,0,20,,,,981,2,8,160,0,1,1,0,1,1
True,0,21,,,,1504,1,1,160,0,1,0,0,0,1
True,0,22,,,,1428,1,4,160,0,1,1,1,0,0
True,0,23,,,,552,4,2,10,1,1,1,0,1,0
True,0,24,,,,767,2,4,40,0,1,1,0,1,0
True,0,25,,,,1741,4,1,10,1,0,1,1,0,0
True,0,26,,,,1632,4,8,10,0,1,0,0,0,0
True,0,27,,,,1710,2,2,40,1,0,1,0,1,0
True,0,28,,,,315,4,1,160,0,0,1,1,0,0
True,0,29,,,,855,1,1,160,0,0,1,1,1,1
True,0,30,,,,1662,4,4,160,0,1,0,0,1,0
True,0,31,,,,1758,8,16,160,0,1,1,0,0,0
True,0,32,,,,1039,2,1,160,1,1,0,1,1,0
True,0,33,,,,1463,2,8,40,0,1,1,0,1,1
True,0,34,,,,850,1,16,0,1,1,0,1,1,0
True,0,35,,,,1100,8,16,40,0,1,1,0,0,1
True,0,36,,,,449,4,2,160,0,1,1,0,1,0
True,0,37,,,,1839,4,2,0,0,1,1,0,0,1
