is_active,repetition,iteration,feature,first_option_value,second_option_value,taskID,threads,ref,rc_lookahead,no_8x8dct,no_cabac,no_deblock,no_mbtree,no_fast_pskip,no_mixed_refs
True,0,10,,,,560,8,2,10,0,0,1,1,0,1
True,0,10,,,,685,8,16,10,1,0,1,1,1,1
True,0,10,,,,764,4,4,0,1,1,0,0,1,1
True,0,10,,,,836,2,16,0,0,1,1,0,0,0
True,0,10,,,,1034,4,1,160,1,1,0,1,1,1
True,0,10,,,,1217,2,4,160,0,0,1,0,1,0
True,0,10,,,,1384,1,4,10,1,1,0,1,0,0
True,0,10,,,,1654,1,16,160,0,0,0,1,1,1
True,0,10,,,,1732,2,8,0,0,0,0,0,1,0
True,0,10,,,,1748,8,2,160,1,1,0,0,0,1
True,0,15,,,,152,2,16,160,1,1,1,0,0,1
True,0,15,,,,511,2,4,160,1,1,0,0,1,0
True,0,15,,,,538,8,8,160,0,0,0,0,0,1
True,0,15,,,,1100,8,16,40,0,1,1,0,0,1
True,0,15,,,,1789,1,2,160,0,1,1,1,0,0
True,0,20,,,,1083,8,1,40,0,1,1,0,1,0
True,0,20,,,,1112,8,1,40,1,1,1,1,0,1
True,0,20,,,,1223,8,2,40,0,0,0,0,0,0
True,0,20,,,,1758,8,16,160,0,1,1,0,0,0
True,0,20,,,,1966,8,16,160,1,1,1,0,1,0
True,0,25,,,,29,8,2,160,1,1,0,0,1,1
True,0,25,,,,315,4,1,160,0,0,1,1,0,0
True,0,25,,,,544,8,4,160,0,1,1,0,0,1
True,0,25,,,,677,8,8,160,0,0,0,0,1,0
True,0,25,,,,1177,8,1,160,1,0,1,0,1,1
True,0,30,,,,92,1,2,10,0,1,0,0,1,0
True,0,30,,,,887,2,8,40,0,0,0,1,0,0
True,0,30,,,,981,2,8,160,0,1,1,0,1,1
True,0,30,,,,1428,1,4,160,0,1,1,1,0,0
True,0,30,,,,1463,2,8,40,0,1,1,0,1,1
True,0,35,,,,88,8,1,0,1,0,0,0,1,1
True,0,35,,,,129,1,16,0,0,0,1,0,1,0
True,0,35,,,,602,8,1,0,0,0,1,0,0,0
True,0,35,,,,850,1,16,0,1,1,0,1,1,0
True,0,35,,,,1649,2,16,0,0,0,0,1,1,1
True,0,40,,,,175,1,2,160,1,0,0,0,1,0
True,0,40,,,,278,4,8,160,1,1,0,1,1,1
