is_active,repetition,iteration,feature,first_option_value,second_option_value,taskID,threads,ref,rc_lookahead,no_8x8dct,no_cabac,no_deblock,no_mbtree,no_fast_pskip,no_mixed_refs
False,0,10,,,,560,8,2,10,0,0,1,1,0,1
False,0,10,,,,685,8,16,10,1,0,1,1,1,1
False,0,10,,,,764,4,4,0,1,1,0,0,1,1
False,0,10,,,,836,2,16,0,0,1,1,0,0,0
False,0,10,,,,1034,4,1,160,1,1,0,1,1,1
False,0,10,,,,1217,2,4,160,0,0,1,0,1,0
False,0,10,,,,1384,1,4,10,1,1,0,1,0,0
False,0,10,,,,1654,1,16,160,0,0,0,1,1,1
False,0,10,,,,1732,2,8,0,0,0,0,0,1,0
False,0,10,,,,1748,8,2,160,1,1,0,0,0,1
False,0,15,,,,73,4,2,160,0,0,1,0,0,1
False,0,15,,,,278,4,8,160,1,1,0,1,1,1
False,0,15,,,,781,4,8,40,1,0,0,1,0,0
False,0,15,,,,1039,2,1,160,1,1,0,1,1,0
False,0,15,,,,1391,1,2,160,1,0,1,0,1,1
False,0,20,,,,88,8,1,0,1,0,0,0,1,1
False,0,20,,,,315,4,1,160,0,0,1,1,0,0
False,0,20,,,,806,1,4,0,1,1,0,1,1,1
False,0,20,,,,915,4,2,160,1,0,0,0,1,0
False,0,20,,,,1463,2,8,40,0,1,1,0,1,1
False,0,25,,,,641,4,4,40,0,0,0,0,0,1
False,0,25,,,,687,1,2,40,1,0,1,0,0,1
False,0,25,,,,981,2,8,160,0,1,1,0,1,1
False,0,25,,,,1149,4,8,10,1,0,0,0,0,1
False,0,25,,,,1947,4,8,0,0,0,1,0,1,1
False,0,30,,,,552,4,2,10,1,1,1,0,1,0
False,0,30,,,,677,8,8,160,0,0,0,0,1,0
False,0,30,,,,1319,2,4,160,0,0,1,1,1,0
False,0,30,,,,1504,1,1,160,0,1,0,0,0,1
False,0,30,,,,1966,8,16,160,1,1,1,0,1,0
False,0,35,,,,561,1,1,40,1,1,1,0,0,0
False,0,35,,,,661,2,2,40,0,1,1,0,1,1
False,0,35,,,,700,2,4,160,1,1,0,1,1,0
False,0,35,,,,758,2,1,40,1,0,1,1,0,1
False,0,35,,,,1223,8,2,40,0,0,0,0,0,0
False,0,40,,,,783,2,2,160,1,0,1,0,1,1
False,0,40,,,,855,1,1,160,0,0,1,1,1,1
False,0,40,,,,1213,2,4,10,1,0,0,0,1,1
False,0,40,,,,1352,2,1,10,1,1,1,1,0,1
False,0,40,,,,1905,4,16,10,1,0,1,0,1,1
False,0,45,,,,292,2,2,160,0,0,0,1,1,0
False,0,45,,,,717,8,8,40,0,0,0,0,0,1
False,0,45,,,,767,2,4,40,0,1,1,0,1,0
False,0,45,,,,1072,4,4,10,1,1,1,0,1,0
False,0,45,,,,1951,2,8,10,0,0,1,0,0,1
False,0,50,,,,336,4,2,40,0,0,0,0,1,0
False,0,50,,,,801,1,8,0,1,1,0,0,0,0
False,0,50,,,,1100,8,16,40,0,1,1,0,0,1
False,0,50,,,,1491,8,2,0,0,1,0,1,0,1
False,0,50,,,,1649,2,16,0,0,0,0,1,1,1
False,0,55,,,,92,1,2,10,0,1,0,0,1,0
False,0,55,,,,274,2,4,160,0,0,0,0,1,0
False,0,55,,,,389,4,16,160,1,0,1,1,0,0
False,0,55,,,,887,2,8,40,0,0,0,1,0,0
False,0,55,,,,1662,4,4,160,0,1,0,0,1,0
False,0,60,,,,129,1,16,0,0,0,1,0,1,0
False,0,60,,,,424,2,4,40,0,1,0,1,1,0
False,0,60,,,,1112,8,1,40,1,1,1,1,0,1
False,0,60,,,,1296,4,1,160,1,1,1,0,0,0
False,0,60,,,,1710,2,2,40,1,0,1,0,1,0
False,0,65,,,,152,2,16,160,1,1,1,0,0,1
False,0,65,,,,449,4,2,160,0,1,1,0,1,0
False,0,65,,,,840,2,1,0,1,1,0,1,0,1
False,0,65,,,,854,8,8,0,0,0,0,0,0,0
False,0,65,,,,1177,8,1,160,1,0,1,0,1,1
False,0,70,,,,708,8,1,0,1,1,0,0,0,0
False,0,70,,,,1083,8,1,40,0,1,1,0,1,0
False,0,70,,,,1428,1,4,160,0,1,1,1,0,0
False,0,70,,,,1741,4,1,10,1,0,1,1,0,0
False,0,70,,,,1743,2,8,10,1,1,1,0,0,0
